index,occupation,energy_Eh,energy_eV,irrep
0,1.0,-14.658383,-398.8749,
1,1.0,-10.404171,-283.1119,
2,1.0,-10.40417,-283.1118,
3,1.0,-10.404155,-283.1115,
4,1.0,-10.404136,-283.1109,
5,1.0,-10.404108,-283.1102,
6,1.0,-10.404069,-283.1091,
7,1.0,-10.404059,-283.1088,
8,1.0,-10.404054,-283.1087,
9,1.0,-10.404036,-283.1082,
10,1.0,-10.403996,-283.1071,
11,1.0,-10.403993,-283.1071,
12,1.0,-10.403987,-283.1069,
13,1.0,-10.403985,-283.1068,
14,1.0,-10.40394,-283.1056,
15,1.0,-10.403936,-283.1055,
16,1.0,-10.40393,-283.1053,
17,1.0,-10.403922,-283.1051,
18,1.0,-10.403898,-283.1045,
19,1.0,-10.403875,-283.1038,
20,1.0,-10.403859,-283.1034,
21,1.0,-10.403857,-283.1033,
22,1.0,-10.403852,-283.1032,
23,1.0,-10.403843,-283.103,
24,1.0,-10.403836,-283.1028,
25,1.0,-10.403835,-283.1027,
26,1.0,-10.403822,-283.1024,
27,1.0,-10.403814,-283.1022,
28,1.0,-10.40381,-283.1021,
29,1.0,-10.403809,-283.102,
30,1.0,-10.403799,-283.1018,
31,1.0,-10.403519,-283.0941,
32,1.0,-10.403511,-283.0939,
33,1.0,-10.403503,-283.0937,
34,1.0,-10.403486,-283.0932,
35,1.0,-10.403481,-283.0931,
36,1.0,-10.403469,-283.0928,
37,1.0,-10.403403,-283.091,
38,1.0,-10.403402,-283.091,
39,1.0,-10.403397,-283.0908,
40,1.0,-10.403372,-283.0901,
41,1.0,-10.40337,-283.0901,
42,1.0,-10.403363,-283.0899,
43,1.0,-10.403355,-283.0897,
44,1.0,-10.403344,-283.0894,
45,1.0,-10.403325,-283.0889,
46,1.0,-10.403309,-283.0884,
47,1.0,-10.403299,-283.0882,
48,1.0,-10.403287,-283.0878,
49,1.0,-10.403279,-283.0876,
50,1.0,-10.403244,-283.0867,
51,1.0,-10.403222,-283.0861,
52,1.0,-10.403217,-283.0859,
53,1.0,-10.40321,-283.0857,
54,1.0,-10.403126,-283.0834,
55,1.0,-10.403118,-283.0832,
56,1.0,-10.403107,-283.0829,
57,1.0,-10.403095,-283.0826,
58,1.0,-10.403091,-283.0825,
59,1.0,-10.403085,-283.0823,
60,1.0,-10.403083,-283.0823,
61,1.0,-1.113185,-30.2913,
62,1.0,-1.092701,-29.7339,
63,1.0,-1.092674,-29.7332,
64,1.0,-1.092669,-29.733,
65,1.0,-1.053707,-28.6728,
66,1.0,-1.053676,-28.672,
67,1.0,-1.053668,-28.6718,
68,1.0,-1.053657,-28.6715,
69,1.0,-1.053644,-28.6711,
70,1.0,-1.012582,-27.5538,
71,1.0,-1.012558,-27.5531,
72,1.0,-1.012535,-27.5525,
73,1.0,-0.979243,-26.6466,
74,1.0,-0.979243,-26.6466,
75,1.0,-0.979241,-26.6465,
76,1.0,-0.979218,-26.6459,
77,1.0,-0.958372,-26.0786,
78,1.0,-0.926632,-25.2149,
79,1.0,-0.92662,-25.2146,
80,1.0,-0.926619,-25.2146,
81,1.0,-0.926604,-25.2142,
82,1.0,-0.926603,-25.2141,
83,1.0,-0.90868,-24.7265,
84,1.0,-0.90867,-24.7262,
85,1.0,-0.908663,-24.726,
86,1.0,-0.908643,-24.7254,
87,1.0,-0.848165,-23.0798,
88,1.0,-0.848151,-23.0794,
89,1.0,-0.848144,-23.0792,
90,1.0,-0.848142,-23.0791,
91,1.0,-0.848139,-23.079,
92,1.0,-0.835818,-22.7438,
93,1.0,-0.835806,-22.7434,
94,1.0,-0.835806,-22.7434,
95,1.0,-0.792135,-21.5551,
96,1.0,-0.792133,-21.555,
97,1.0,-0.792132,-21.555,
98,1.0,-0.75036,-20.4183,
99,1.0,-0.750356,-20.4182,
100,1.0,-0.750344,-20.4179,
101,1.0,-0.750342,-20.4178,
102,1.0,-0.750326,-20.4174,
103,1.0,-0.746316,-20.3083,
104,1.0,-0.746315,-20.3083,
105,1.0,-0.746295,-20.3077,
106,1.0,-0.725207,-19.7339,
107,1.0,-0.679203,-18.4821,
108,1.0,-0.679195,-18.4818,
109,1.0,-0.679186,-18.4816,
110,1.0,-0.679185,-18.4816,
111,1.0,-0.649694,-17.6791,
112,1.0,-0.649685,-17.6788,
113,1.0,-0.649684,-17.6788,
114,1.0,-0.649678,-17.6786,
115,1.0,-0.649668,-17.6784,
116,1.0,-0.634707,-17.2712,
117,1.0,-0.634706,-17.2712,
118,1.0,-0.634704,-17.2712,
119,1.0,-0.613985,-16.7074,
120,1.0,-0.607615,-16.534,
121,1.0,-0.60761,-16.5339,
122,1.0,-0.607609,-16.5339,
123,1.0,-0.594268,-16.1709,
124,1.0,-0.594247,-16.1703,
125,1.0,-0.594244,-16.1702,
126,1.0,-0.58006,-15.7842,
127,1.0,-0.580039,-15.7837,
128,1.0,-0.580024,-15.7833,
129,1.0,-0.580021,-15.7832,
130,1.0,-0.558126,-15.1874,
131,1.0,-0.558121,-15.1872,
132,1.0,-0.55812,-15.1872,
133,1.0,-0.558118,-15.1872,
134,1.0,-0.558111,-15.187,
135,1.0,-0.542853,-14.7718,
136,1.0,-0.542846,-14.7716,
137,1.0,-0.542838,-14.7714,
138,1.0,-0.54282,-14.7709,
139,1.0,-0.538691,-14.6585,
140,1.0,-0.53867,-14.658,
141,1.0,-0.538668,-14.6579,
142,1.0,-0.538656,-14.6576,
143,1.0,-0.538646,-14.6573,
144,1.0,-0.531254,-14.4562,
145,1.0,-0.53124,-14.4558,
146,1.0,-0.531224,-14.4553,
147,1.0,-0.510638,-13.8952,
148,1.0,-0.510631,-13.895,
149,1.0,-0.51063,-13.895,
150,1.0,-0.510605,-13.8943,
151,1.0,-0.487314,-13.2605,
152,1.0,-0.48731,-13.2604,
153,1.0,-0.48731,-13.2604,
154,1.0,-0.472177,-12.8486,
155,1.0,-0.472163,-12.8482,
156,1.0,-0.472145,-12.8477,
157,1.0,-0.464846,-12.6491,
158,1.0,-0.464839,-12.6489,
159,1.0,-0.464829,-12.6486,
160,1.0,-0.464827,-12.6486,
161,1.0,-0.464825,-12.6485,
162,1.0,-0.452813,-12.3217,
163,1.0,-0.452811,-12.3216,
164,1.0,-0.452806,-12.3215,
165,1.0,-0.452786,-12.3209,
166,1.0,-0.452173,-12.3042,
