index,symbol,charge
0,N,10.426992
1,C,-0.176474
2,C,-0.172277
3,C,-0.172467
4,C,-0.172618
5,C,-0.168861
6,C,-0.175121
7,C,-0.17117
8,C,-0.179941
9,C,-0.170103
10,C,-0.178738
11,C,-0.17404
12,C,-0.170527
13,C,-0.176796
14,C,-0.16879
15,C,-0.180109
16,C,-0.168068
17,C,-0.177593
18,C,-0.171886
19,C,-0.170329
20,C,-0.17919
21,C,-0.17257
22,C,-0.172262
23,C,-0.176625
24,C,-0.172411
25,C,-0.170261
26,C,-0.177765
27,C,-0.177697
28,C,-0.170133
29,C,-0.174099
30,C,-0.171983
31,C,-0.179053
32,C,-0.170136
33,C,-0.179213
34,C,-0.170016
35,C,-0.171905
36,C,-0.173994
37,C,-0.172415
38,C,-0.178711
39,C,-0.170599
40,C,-0.176553
41,C,-0.168711
42,C,-0.172465
43,C,-0.172461
44,C,-0.180183
45,C,-0.176957
46,C,-0.170673
47,C,-0.17855
48,C,-0.167967
49,C,-0.173996
50,C,-0.171014
51,C,-0.175044
52,C,-0.175505
53,C,-0.175404
54,C,-0.173847
55,C,-0.175572
56,C,-0.174068
57,C,-0.175088
58,C,-0.176998
59,C,-0.167932
60,C,-0.171055
