index,symbol,charge,spin_population
0,N,0.093427,2.925172
1,C,-0.001458,0.001244
2,C,-0.001499,0.001275
3,C,-0.001609,0.001223
4,C,-0.001567,0.001332
5,C,-0.001571,0.001333
6,C,-0.00163,0.001153
7,C,-0.00165,0.001153
8,C,-0.001491,0.001275
9,C,-0.001652,0.001211
10,C,-0.001601,0.001195
11,C,-0.001635,0.00121
12,C,-0.001459,0.001271
13,C,-0.001506,0.001257
14,C,-0.001518,0.001215
15,C,-0.001587,0.001226
16,C,-0.001559,0.001351
17,C,-0.001449,0.001271
18,C,-0.00145,0.001244
19,C,-0.001622,0.001195
20,C,-0.001605,0.001221
21,C,-0.00153,0.001172
22,C,-0.001499,0.001275
23,C,-0.001567,0.001333
24,C,-0.001588,0.00127
25,C,-0.001576,0.001228
26,C,-0.00157,0.00135
27,C,-0.001528,0.001213
28,C,-0.001492,0.001257
29,C,-0.001639,0.001153
30,C,-0.001553,0.001351
31,C,-0.001504,0.001257
32,C,-0.001643,0.001154
33,C,-0.001583,0.001268
34,C,-0.001606,0.001288
35,C,-0.00153,0.001173
36,C,-0.001607,0.001342
37,C,-0.001578,0.001227
38,C,-0.001581,0.001268
39,C,-0.001534,0.001173
40,C,-0.001525,0.001214
41,C,-0.001453,0.001244
42,C,-0.001444,0.00127
43,C,-0.001614,0.001196
44,C,-0.001616,0.001222
45,C,-0.001583,0.00127
46,C,-0.001564,0.001333
47,C,-0.001503,0.001274
48,C,-0.001509,0.001172
49,C,-0.00157,0.001226
50,C,-0.001605,0.001343
51,C,-0.001607,0.001286
52,C,-0.001534,0.001215
53,C,-0.001453,0.00127
54,C,-0.001495,0.001256
55,C,-0.001561,0.001352
56,C,-0.001612,0.001195
57,C,-0.001637,0.001209
58,C,-0.001618,0.001223
59,C,-0.001454,0.001244
60,C,-0.001645,0.00121
