index,symbol,charge,spin_population
0,N,-0.090665,2.936001
1,C,-0.002236,-0.000388
2,C,0.008769,0.001994
3,C,0.00723,0.002313
4,C,-0.003315,0.000605
5,C,-0.001005,0.001563
6,C,0.003534,0.000467
7,C,-0.004714,0.000939
8,C,0.00513,0.000996
9,C,-0.00261,0.001636
10,C,0.01097,-0.000389
11,C,-0.003883,2.6e-05
12,C,-0.002464,0.002434
13,C,-0.000988,0.001208
14,C,-0.001697,0.001116
15,C,0.005034,0.000781
16,C,0.004565,0.001315
17,C,0.003704,0.001407
18,C,0.001008,0.000764
19,C,0.009001,0.00138
20,C,0.004814,0.001371
21,C,-0.003298,0.001366
22,C,0.004227,0.000858
23,C,0.001341,0.001616
24,C,0.003238,0.000823
25,C,0.004711,0.001494
26,C,0.001399,0.001364
27,C,-0.007459,0.00027
28,C,0.000726,0.000781
29,C,-0.001095,0.00071
30,C,0.003453,0.001148
31,C,0.000176,0.00108
32,C,0.000539,0.001368
33,C,0.01161,0.000763
34,C,-0.00045,0.001609
35,C,-0.004898,0.001284
36,C,-0.005187,0.000625
37,C,0.011983,0.001338
38,C,0.007257,0.000862
39,C,-0.007989,0.001247
40,C,-0.005631,0.000407
41,C,0.001159,0.001174
42,C,0.004283,0.000805
43,C,0.002258,0.001752
44,C,0.008869,0.001289
45,C,0.005588,0.001759
46,C,0.003714,0.000989
47,C,-0.001642,0.00075
48,C,0.003397,0.00083
49,C,0.008544,0.001311
50,C,0.000565,0.001092
51,C,-0.004132,0.000839
52,C,-0.008773,0.000651
53,C,-0.002398,0.001384
54,C,0.005387,0.000677
55,C,0.001265,0.001592
56,C,0.008986,0.000827
57,C,0.004511,-0.000207
58,C,0.012061,0.002565
59,C,-0.006389,9.6e-05
60,C,-0.012091,0.00127
