element,atom_index,g_1,g_2,g_3,iso
C,1,-3e-07,-5e-07,-9e-07,-6e-07
C,2,-4e-07,-5e-07,-9e-07,-6e-07
C,3,-2e-07,-8e-07,-8e-07,-6e-07
C,4,-3e-07,-8e-07,-7e-07,-6e-07
C,5,-4e-07,-9e-07,-5e-07,-6e-07
C,6,-5e-07,-5e-07,-8e-07,-6e-07
C,7,-8e-07,-5e-07,-4e-07,-6e-07
C,8,-8e-07,-7e-07,-3e-07,-6e-07
C,9,-7e-07,-8e-07,-2e-07,-6e-07
C,10,-8e-07,-7e-07,-3e-07,-6e-07
C,11,-4e-07,-9e-07,-6e-07,-6e-07
C,12,-5e-07,-5e-07,-7e-07,-6e-07
C,13,-5e-07,-3e-07,-1e-06,-6e-07
C,14,-1e-06,-6e-07,-3e-07,-6e-07
C,15,-9e-07,-2e-07,-7e-07,-6e-07
C,16,-8e-07,-1e-07,-1e-06,-6e-07
C,17,-8e-07,-7e-07,-4e-07,-6e-07
C,18,-1e-06,-6e-07,-2e-07,-6e-07
C,19,-4e-07,-8e-07,-6e-07,-6e-07
C,20,-1e-06,-7e-07,-1e-07,-6e-07
C,21,-8e-07,-8e-07,-2e-07,-6e-07
C,22,-8e-07,-7e-07,-4e-07,-6e-07
C,23,-4e-07,-9e-07,-5e-07,-6e-07
C,24,-4e-07,-9e-07,-5e-07,-6e-07
C,25,-7e-07,-2e-07,-9e-07,-6e-07
C,26,-9e-07,-1e-07,-8e-07,-6e-07
C,27,-3e-07,-7e-07,-8e-07,-6e-07
C,28,-1e-06,-4e-07,-5e-07,-6e-07
C,29,-8e-07,-5e-07,-4e-07,-6e-07
C,30,-7e-07,-1e-07,-1e-06,-6e-07
C,31,-5e-07,-3e-07,-1e-06,-6e-07
C,32,-5e-07,-5e-07,-8e-07,-6e-07
C,33,-2e-07,-1e-06,-6e-07,-6e-07
C,34,-4e-07,-7e-07,-7e-07,-6e-07
C,35,-2e-07,-9e-07,-7e-07,-6e-07
C,36,-7e-07,-2e-07,-9e-07,-6e-07
C,37,-9e-07,-2e-07,-7e-07,-6e-07
C,38,-4e-07,-9e-07,-5e-07,-6e-07
C,39,-8e-07,-8e-07,-2e-07,-6e-07
C,40,-1e-06,-6e-07,-3e-07,-6e-07
C,41,-4e-07,-6e-07,-9e-07,-6e-07
C,42,-6e-07,-5e-07,-7e-07,-6e-07
C,43,-8e-07,-7e-07,-3e-07,-6e-07
C,44,-2e-07,-8e-07,-8e-07,-6e-07
C,45,-2e-07,-1e-06,-6e-07,-6e-07
C,46,-3e-07,-8e-07,-7e-07,-6e-07
C,47,-4e-07,-6e-07,-9e-07,-6e-07
C,48,-2e-07,-9e-07,-7e-07,-6e-07
C,49,-7e-07,-2e-07,-9e-07,-6e-07
C,50,-7e-07,-2e-07,-9e-07,-6e-07
C,51,-4e-07,-7e-07,-7e-07,-6e-07
C,52,-3e-07,-7e-07,-8e-07,-6e-07
C,53,-8e-07,-7e-07,-4e-07,-6e-07
C,54,-1e-06,-4e-07,-4e-07,-6e-07
C,55,-9e-07,-1e-07,-8e-07,-6e-07
C,56,-4e-07,-8e-07,-6e-07,-6e-07
C,57,-7e-07,-8e-07,-3e-07,-6e-07
C,58,-1e-06,-7e-07,-1e-07,-6e-07
C,59,-1e-06,-6e-07,-2e-07,-6e-07
C,60,-4e-07,-9e-07,-6e-07,-6e-07
