nucleus_index,element,isotope,component,A_1_MHz,A_2_MHz,A_3_MHz,A_iso_MHz,A_PC_MHz
0,N,14,A(FC),2.6853,2.6853,2.6853,,
0,N,14,A(SD),-0.0,0.0,0.0,,
0,N,14,A(ORB+DIA),-0.1332,-0.1332,-0.1332,,-0.1332
0,N,14,A(ORB),-0.1332,-0.1332,-0.1332,,-0.1332
0,N,14,A(DIA),0.0,0.0,0.0,,0.0
0,N,14,A(Tot),2.5522,2.5522,2.5522,2.5522,
1,C,13,A(FC),0.0228,0.0228,0.0228,,
1,C,13,A(SD),-0.4671,-0.47,0.9371,,
1,C,13,A(Tot),-0.4443,-0.4473,0.9599,0.0228,
2,C,13,A(FC),0.0226,0.0226,0.0226,,
2,C,13,A(SD),-0.4671,-0.4701,0.9372,,
2,C,13,A(Tot),-0.4445,-0.4475,0.9598,0.0226,
3,C,13,A(FC),0.0226,0.0226,0.0226,,
3,C,13,A(SD),-0.4671,-0.4701,0.9372,,
3,C,13,A(Tot),-0.4445,-0.4475,0.9598,0.0226,
4,C,13,A(FC),0.0228,0.0228,0.0228,,
4,C,13,A(SD),-0.4671,-0.47,0.9371,,
4,C,13,A(Tot),-0.4443,-0.4473,0.9599,0.0228,
5,C,13,A(FC),0.0228,0.0228,0.0228,,
5,C,13,A(SD),-0.4671,-0.47,0.9371,,
5,C,13,A(Tot),-0.4443,-0.4473,0.9599,0.0228,
6,C,13,A(FC),0.0229,0.0229,0.0229,,
6,C,13,A(SD),-0.4671,-0.4701,0.9372,,
6,C,13,A(Tot),-0.4442,-0.4472,0.9601,0.0229,
7,C,13,A(FC),0.0229,0.0229,0.0229,,
7,C,13,A(SD),-0.4671,-0.4701,0.9372,,
7,C,13,A(Tot),-0.4442,-0.4472,0.9601,0.0229,
8,C,13,A(FC),0.0226,0.0226,0.0226,,
8,C,13,A(SD),-0.4671,-0.4701,0.9372,,
8,C,13,A(Tot),-0.4445,-0.4474,0.9598,0.0226,
9,C,13,A(FC),0.0229,0.0229,0.0229,,
9,C,13,A(SD),-0.4671,-0.4701,0.9372,,
9,C,13,A(Tot),-0.4442,-0.4472,0.9601,0.0229,
10,C,13,A(FC),0.0226,0.0226,0.0226,,
10,C,13,A(SD),-0.4671,-0.4701,0.9372,,
10,C,13,A(Tot),-0.4445,-0.4474,0.9598,0.0226,
11,C,13,A(FC),0.0229,0.0229,0.0229,,
11,C,13,A(SD),-0.4671,-0.4701,0.9372,,
11,C,13,A(Tot),-0.4442,-0.4472,0.9601,0.0229,
12,C,13,A(FC),0.0228,0.0228,0.0228,,
12,C,13,A(SD),-0.4671,-0.47,0.9371,,
12,C,13,A(Tot),-0.4443,-0.4473,0.9599,0.0228,
13,C,13,A(FC),0.0226,0.0226,0.0226,,
13,C,13,A(SD),-0.4671,-0.4701,0.9372,,
13,C,13,A(Tot),-0.4445,-0.4474,0.9598,0.0226,
14,C,13,A(FC),0.0228,0.0228,0.0228,,
14,C,13,A(SD),-0.4671,-0.47,0.9371,,
14,C,13,A(Tot),-0.4443,-0.4473,0.9599,0.0228,
15,C,13,A(FC),0.0226,0.0226,0.0226,,
15,C,13,A(SD),-0.4671,-0.4701,0.9372,,
15,C,13,A(Tot),-0.4445,-0.4474,0.9598,0.0226,
16,C,13,A(FC),0.0228,0.0228,0.0228,,
16,C,13,A(SD),-0.4671,-0.47,0.9371,,
16,C,13,A(Tot),-0.4443,-0.4473,0.9599,0.0228,
17,C,13,A(FC),0.0228,0.0228,0.0228,,
17,C,13,A(SD),-0.4671,-0.47,0.9371,,
17,C,13,A(Tot),-0.4443,-0.4473,0.9599,0.0228,
18,C,13,A(FC),0.0228,0.0228,0.0228,,
18,C,13,A(SD),-0.4671,-0.47,0.9371,,
18,C,13,A(Tot),-0.4443,-0.4473,0.9599,0.0228,
19,C,13,A(FC),0.0226,0.0226,0.0226,,
19,C,13,A(SD),-0.4671,-0.4701,0.9372,,
19,C,13,A(Tot),-0.4445,-0.4474,0.9598,0.0226,
20,C,13,A(FC),0.0226,0.0226,0.0226,,
20,C,13,A(SD),-0.4671,-0.4701,0.9372,,
20,C,13,A(Tot),-0.4444,-0.4474,0.9598,0.0226,
21,C,13,A(FC),0.0228,0.0228,0.0228,,
21,C,13,A(SD),-0.4671,-0.47,0.9371,,
21,C,13,A(Tot),-0.4443,-0.4473,0.9599,0.0228,
22,C,13,A(FC),0.0226,0.0226,0.0226,,
22,C,13,A(SD),-0.4671,-0.4701,0.9372,,
22,C,13,A(Tot),-0.4445,-0.4475,0.9598,0.0226,
