index,symbol,x_ang,y_ang,z_ang
,N,0.0,0.0,-0.0
,C,-2.296065,0.723595,2.589847
,C,-3.01966,1.170801,1.419046
,C,-1.170801,1.419046,3.01966
,C,-2.589847,2.296065,0.723595
,C,-2.589847,2.296065,-0.723595
,C,-3.466866,-0.0,0.695452
,C,-3.466866,0.0,-0.695452
,C,-3.01966,1.170801,-1.419046
,C,-0.0,-0.695452,3.466866
,C,-1.170801,-1.419046,3.01966
,C,0.0,0.695452,3.466866
,C,-2.296065,-0.723595,2.589847
,C,-3.01966,-1.170801,1.419046
,C,-0.723595,-2.589847,2.296065
,C,-1.419046,-3.01966,1.170801
,C,-2.589847,-2.296065,0.723595
,C,2.296065,0.723595,2.589847
,C,2.296065,-0.723595,2.589847
,C,1.170801,1.419046,3.01966
,C,1.170801,-1.419046,3.01966
,C,0.723595,-2.589847,2.296065
,C,3.01966,-1.170801,1.419046
,C,2.589847,-2.296065,0.723595
,C,1.419046,-3.01966,1.170801
,C,1.419046,3.01966,1.170801
,C,2.589847,2.296065,0.723595
,C,0.723595,2.589847,2.296065
,C,3.01966,1.170801,1.419046
,C,3.466866,0.0,0.695452
,C,2.589847,2.296065,-0.723595
,C,3.01966,1.170801,-1.419046
,C,3.466866,-0.0,-0.695452
,C,-1.419046,3.01966,1.170801
,C,-0.695452,3.466866,-0.0
,C,-0.723595,2.589847,2.296065
,C,0.695452,3.466866,0.0
,C,1.419046,3.01966,-1.170801
,C,-1.419046,3.01966,-1.170801
,C,-0.723595,2.589847,-2.296065
,C,0.723595,2.589847,-2.296065
,C,2.296065,-0.723595,-2.589847
,C,2.296065,0.723595,-2.589847
,C,1.170801,1.419046,-3.01966
,C,1.170801,-1.419046,-3.01966
,C,1.419046,-3.01966,-1.170801
,C,2.589847,-2.296065,-0.723595
,C,3.01966,-1.170801,-1.419046
,C,0.723595,-2.589847,-2.296065
,C,-1.419046,-3.01966,-1.170801
,C,-0.695452,-3.466866,0.0
,C,0.695452,-3.466866,-0.0
,C,-0.723595,-2.589847,-2.296065
,C,-2.296065,-0.723595,-2.589847
,C,-3.01966,-1.170801,-1.419046
,C,-2.589847,-2.296065,-0.723595
,C,-1.170801,-1.419046,-3.01966
,C,-0.0,0.695452,-3.466866
,C,-1.170801,1.419046,-3.01966
,C,-2.296065,0.723595,-2.589847
,C,0.0,-0.695452,-3.466866
