index,symbol,charge,spin_population
0,N,0.095699,2.828297
1,C,-0.001469,0.002856
2,C,-0.001523,0.002891
3,C,-0.00164,0.002834
4,C,-0.001581,0.002945
5,C,-0.001579,0.002945
6,C,-0.001756,0.002773
7,C,-0.001757,0.002773
8,C,-0.001521,0.002891
9,C,-0.001756,0.002832
10,C,-0.00164,0.002805
11,C,-0.001756,0.002833
12,C,-0.001468,0.002885
13,C,-0.001522,0.002871
14,C,-0.001539,0.002831
15,C,-0.001598,0.002833
16,C,-0.001579,0.002965
17,C,-0.001469,0.002885
18,C,-0.001469,0.002856
19,C,-0.00164,0.002805
20,C,-0.001637,0.002834
21,C,-0.001538,0.002783
22,C,-0.001523,0.002891
23,C,-0.001581,0.002944
24,C,-0.001605,0.002881
25,C,-0.001598,0.002835
26,C,-0.001579,0.002965
27,C,-0.001538,0.00283
28,C,-0.001523,0.002871
29,C,-0.001756,0.002773
30,C,-0.001578,0.002965
31,C,-0.001522,0.002871
32,C,-0.001755,0.002773
33,C,-0.001606,0.00288
34,C,-0.001723,0.002908
35,C,-0.001537,0.002784
36,C,-0.001718,0.002968
37,C,-0.001598,0.002835
38,C,-0.001606,0.00288
39,C,-0.001539,0.002784
40,C,-0.001539,0.00283
41,C,-0.001468,0.002856
42,C,-0.001467,0.002885
43,C,-0.001639,0.002805
44,C,-0.00164,0.002834
45,C,-0.001605,0.002881
46,C,-0.00158,0.002945
47,C,-0.001523,0.002891
48,C,-0.001536,0.002784
49,C,-0.001598,0.002834
50,C,-0.001718,0.002969
51,C,-0.001724,0.002906
52,C,-0.001539,0.002831
53,C,-0.001469,0.002885
54,C,-0.001522,0.00287
55,C,-0.001579,0.002965
56,C,-0.001638,0.002804
57,C,-0.001755,0.002832
58,C,-0.001639,0.002834
59,C,-0.00147,0.002856
60,C,-0.001756,0.002833
