atom_i,symbol_i,atom_j,symbol_j,bond_order
1,C,2,C,1.1357
1,C,3,C,1.4071
1,C,12,C,1.1338
2,C,4,C,1.4041
2,C,6,C,1.1308
3,C,11,C,1.1377
3,C,35,C,1.1362
4,C,5,C,1.139
4,C,33,C,1.1405
5,C,8,C,1.4097
5,C,38,C,1.1393
6,C,7,C,1.4109
6,C,13,C,1.136
7,C,8,C,1.1347
7,C,54,C,1.1326
8,C,59,C,1.1345
9,C,10,C,1.1362
9,C,11,C,1.4036
9,C,20,C,1.1369
10,C,12,C,1.4076
10,C,14,C,1.1326
11,C,19,C,1.1337
12,C,13,C,1.1374
13,C,16,C,1.4037
14,C,15,C,1.4064
14,C,21,C,1.1384
15,C,16,C,1.1372
15,C,50,C,1.1369
16,C,55,C,1.1366
17,C,18,C,1.1338
17,C,19,C,1.4089
17,C,28,C,1.1315
18,C,20,C,1.407
18,C,22,C,1.1372
19,C,27,C,1.138
20,C,21,C,1.1386
21,C,24,C,1.4065
22,C,23,C,1.4075
22,C,29,C,1.1361
23,C,24,C,1.1404
23,C,46,C,1.1327
24,C,51,C,1.1353
25,C,26,C,1.1378
25,C,27,C,1.4049
25,C,36,C,1.1363
26,C,28,C,1.4019
26,C,30,C,1.1339
27,C,35,C,1.1388
28,C,29,C,1.1371
29,C,32,C,1.4129
30,C,31,C,1.4041
30,C,37,C,1.1376
31,C,32,C,1.1322
31,C,42,C,1.135
32,C,47,C,1.1351
33,C,34,C,1.1351
33,C,35,C,1.4093
34,C,36,C,1.4119
34,C,38,C,1.1368
36,C,37,C,1.1347
37,C,40,C,1.4048
38,C,39,C,1.4088
39,C,40,C,1.1368
39,C,58,C,1.1377
40,C,43,C,1.136
41,C,42,C,1.1331
41,C,44,C,1.4093
41,C,47,C,1.1339
42,C,43,C,1.4055
43,C,57,C,1.1344
44,C,48,C,1.134
44,C,60,C,1.1361
45,C,46,C,1.1379
45,C,48,C,1.4055
45,C,51,C,1.1389
46,C,47,C,1.4029
48,C,52,C,1.1339
49,C,50,C,1.1392
49,C,52,C,1.4068
49,C,55,C,1.134
50,C,51,C,1.4148
52,C,56,C,1.141
53,C,54,C,1.1346
53,C,56,C,1.4098
53,C,59,C,1.1369
54,C,55,C,1.4023
56,C,60,C,1.1364
57,C,58,C,1.1346
57,C,60,C,1.4043
58,C,59,C,1.4017
