index,symbol,population,width_au
0,N,5.249511,0.42688
1,C,4.355067,0.499367
2,C,4.354993,0.499364
3,C,4.355202,0.499362
4,C,4.355232,0.499365
5,C,4.355228,0.499365
6,C,4.355636,0.499426
7,C,4.355652,0.499428
8,C,4.354982,0.499363
9,C,4.355588,0.499426
10,C,4.355201,0.499363
11,C,4.355582,0.499426
12,C,4.355066,0.499367
13,C,4.354988,0.499363
14,C,4.355146,0.499367
15,C,4.355122,0.499365
16,C,4.355231,0.499365
17,C,4.355066,0.499367
18,C,4.35507,0.499368
19,C,4.355203,0.499363
20,C,4.355188,0.499361
21,C,4.355149,0.499367
22,C,4.354992,0.499364
23,C,4.35523,0.499364
24,C,4.355131,0.499365
25,C,4.355118,0.499364
26,C,4.355236,0.499365
27,C,4.355149,0.499367
28,C,4.354989,0.499363
29,C,4.355643,0.499427
30,C,4.355225,0.499364
31,C,4.354997,0.499364
32,C,4.355635,0.499426
33,C,4.355139,0.499366
34,C,4.355546,0.499427
35,C,4.355138,0.499366
36,C,4.355549,0.499428
37,C,4.355122,0.499365
38,C,4.355135,0.499365
39,C,4.355146,0.499368
40,C,4.355144,0.499367
41,C,4.355067,0.499367
42,C,4.355055,0.499366
43,C,4.355209,0.499363
44,C,4.355208,0.499363
45,C,4.355136,0.499365
46,C,4.355232,0.499365
47,C,4.354993,0.499363
48,C,4.355131,0.499365
49,C,4.355118,0.499365
50,C,4.355544,0.499428
51,C,4.355554,0.499428
52,C,4.355159,0.499368
53,C,4.355069,0.499367
54,C,4.354985,0.499363
55,C,4.355233,0.499365
56,C,4.355194,0.499362
57,C,4.355576,0.499425
58,C,4.355205,0.499364
59,C,4.355066,0.499367
60,C,4.355585,0.499426
