index,occupation,energy_Eh,energy_eV,irrep
0,1.0,-14.599632,-397.2762,
1,1.0,-10.404156,-283.1115,
2,1.0,-10.404155,-283.1115,
3,1.0,-10.404141,-283.1111,
4,1.0,-10.404122,-283.1105,
5,1.0,-10.404094,-283.1098,
6,1.0,-10.404054,-283.1087,
7,1.0,-10.404045,-283.1085,
8,1.0,-10.40404,-283.1083,
9,1.0,-10.404023,-283.1078,
10,1.0,-10.403982,-283.1068,
11,1.0,-10.403979,-283.1067,
12,1.0,-10.403972,-283.1065,
13,1.0,-10.403972,-283.1065,
14,1.0,-10.403926,-283.1052,
15,1.0,-10.403923,-283.1051,
16,1.0,-10.403916,-283.1049,
17,1.0,-10.403908,-283.1047,
18,1.0,-10.403884,-283.1041,
19,1.0,-10.403862,-283.1035,
20,1.0,-10.403845,-283.103,
21,1.0,-10.403843,-283.103,
22,1.0,-10.403839,-283.1028,
23,1.0,-10.403829,-283.1026,
24,1.0,-10.403822,-283.1024,
25,1.0,-10.403821,-283.1024,
26,1.0,-10.403808,-283.102,
27,1.0,-10.4038,-283.1018,
28,1.0,-10.403796,-283.1017,
29,1.0,-10.403795,-283.1016,
30,1.0,-10.403785,-283.1014,
31,1.0,-10.403505,-283.0938,
32,1.0,-10.403498,-283.0936,
33,1.0,-10.403489,-283.0933,
34,1.0,-10.403471,-283.0928,
35,1.0,-10.403468,-283.0928,
36,1.0,-10.403456,-283.0924,
37,1.0,-10.403389,-283.0906,
38,1.0,-10.403388,-283.0906,
39,1.0,-10.403383,-283.0904,
40,1.0,-10.403358,-283.0898,
41,1.0,-10.403356,-283.0897,
42,1.0,-10.403349,-283.0895,
43,1.0,-10.403341,-283.0893,
44,1.0,-10.403331,-283.089,
45,1.0,-10.403312,-283.0885,
46,1.0,-10.403295,-283.088,
47,1.0,-10.403285,-283.0878,
48,1.0,-10.403274,-283.0875,
49,1.0,-10.403267,-283.0873,
50,1.0,-10.40323,-283.0863,
51,1.0,-10.403208,-283.0857,
52,1.0,-10.403205,-283.0856,
53,1.0,-10.403195,-283.0853,
54,1.0,-10.403112,-283.0831,
55,1.0,-10.403104,-283.0829,
56,1.0,-10.403094,-283.0826,
57,1.0,-10.403082,-283.0822,
58,1.0,-10.403077,-283.0821,
59,1.0,-10.403072,-283.082,
60,1.0,-10.40307,-283.0819,
61,1.0,-1.112997,-30.2862,
62,1.0,-1.092633,-29.7321,
63,1.0,-1.092607,-29.7314,
64,1.0,-1.0926,-29.7312,
65,1.0,-1.053653,-28.6714,
66,1.0,-1.053622,-28.6705,
67,1.0,-1.053611,-28.6702,
68,1.0,-1.053605,-28.67,
69,1.0,-1.053589,-28.6696,
70,1.0,-1.012529,-27.5523,
71,1.0,-1.012503,-27.5516,
72,1.0,-1.012482,-27.551,
73,1.0,-0.979197,-26.6453,
74,1.0,-0.979194,-26.6452,
75,1.0,-0.979191,-26.6451,
76,1.0,-0.979171,-26.6446,
77,1.0,-0.926586,-25.2137,
78,1.0,-0.926575,-25.2134,
79,1.0,-0.926573,-25.2133,
80,1.0,-0.926558,-25.2129,
81,1.0,-0.926557,-25.2129,
82,1.0,-0.908635,-24.7252,
83,1.0,-0.908624,-24.7249,
84,1.0,-0.908618,-24.7247,
85,1.0,-0.908598,-24.7242,
86,1.0,-0.848119,-23.0785,
87,1.0,-0.848104,-23.0781,
88,1.0,-0.848098,-23.0779,
89,1.0,-0.848096,-23.0779,
90,1.0,-0.848092,-23.0778,
91,1.0,-0.835776,-22.7426,
92,1.0,-0.835765,-22.7423,
93,1.0,-0.835764,-22.7423,
94,1.0,-0.792098,-21.5541,
95,1.0,-0.792097,-21.5541,
96,1.0,-0.792097,-21.554,
97,1.0,-0.769992,-20.9525,
98,1.0,-0.750318,-20.4172,
99,1.0,-0.750315,-20.4171,
100,1.0,-0.750304,-20.4168,
101,1.0,-0.750302,-20.4168,
102,1.0,-0.750285,-20.4163,
103,1.0,-0.746276,-20.3072,
104,1.0,-0.746271,-20.3071,
105,1.0,-0.746253,-20.3066,
106,1.0,-0.725137,-19.732,
107,1.0,-0.679167,-18.4811,
108,1.0,-0.67916,-18.4809,
109,1.0,-0.679151,-18.4807,
110,1.0,-0.679149,-18.4806,
111,1.0,-0.649654,-17.678,
112,1.0,-0.649647,-17.6778,
113,1.0,-0.649643,-17.6777,
114,1.0,-0.649638,-17.6776,
115,1.0,-0.649628,-17.6773,
116,1.0,-0.634667,-17.2702,
117,1.0,-0.634666,-17.2701,
118,1.0,-0.634664,-17.2701,
119,1.0,-0.610987,-16.6258,
120,1.0,-0.607579,-16.5331,
121,1.0,-0.607575,-16.5329,
122,1.0,-0.607574,-16.5329,
123,1.0,-0.59054,-16.0694,
124,1.0,-0.590522,-16.0689,
125,1.0,-0.590514,-16.0687,
126,1.0,-0.580022,-15.7832,
127,1.0,-0.580003,-15.7827,
128,1.0,-0.579985,-15.7822,
129,1.0,-0.579984,-15.7822,
130,1.0,-0.558087,-15.1863,
131,1.0,-0.558083,-15.1862,
132,1.0,-0.558082,-15.1862,
133,1.0,-0.55808,-15.1861,
134,1.0,-0.558073,-15.1859,
135,1.0,-0.542816,-14.7708,
136,1.0,-0.542809,-14.7706,
137,1.0,-0.542802,-14.7704,
138,1.0,-0.542783,-14.7699,
139,1.0,-0.53849,-14.653,
140,1.0,-0.538473,-14.6526,
141,1.0,-0.538461,-14.6523,
142,1.0,-0.53846,-14.6522,
143,1.0,-0.538449,-14.6519,
144,1.0,-0.531217,-14.4551,
145,1.0,-0.531204,-14.4548,
146,1.0,-0.531187,-14.4543,
147,1.0,-0.5106,-13.8941,
148,1.0,-0.510591,-13.8939,
149,1.0,-0.510591,-13.8939,
150,1.0,-0.510567,-13.8932,
151,1.0,-0.471959,-12.8427,
152,1.0,-0.471934,-12.842,
153,1.0,-0.471928,-12.8418,
154,1.0,-0.464811,-12.6481,
155,1.0,-0.464803,-12.6479,
156,1.0,-0.464793,-12.6477,
157,1.0,-0.464792,-12.6476,
158,1.0,-0.46479,-12.6476,
159,1.0,-0.452652,-12.3173,
160,1.0,-0.452643,-12.3171,
161,1.0,-0.452636,-12.3168,
162,1.0,-0.452628,-12.3166,
163,1.0,-0.452137,-12.3033,
164,1.0,-0.452127,-12.303,
165,1.0,-0.452122,-12.3029,
166,1.0,-0.452116,-12.3027,
167,1.0,-0.452102,-12.3023,
168,1.0,-0.369345,-10.0504,
169,1.0,-0.369333,-10.0501,
170,1.0,-0.369325,-10.0498,
171,1.0,-0.369313,-10.0495,
172,1.0,-0.362626,-9.8676,
173,1.0,-0.362625,-9.8675,
174,1.0,-0.362612,-9.8672,
175,1.0,-0.36261,-9.8671,
176,1.0,-0.362593,-9.8667,
177,1.0,-0.30482,-8.2946,
178,1.0,-0.304801,-8.294,
179,1.0,-0.304797,-8.2939,
180,1.0,-0.304795,-8.2939,
181,1.0,-0.304794,-8.2939,
182,0.0,-0.073977,-2.013,
183,0.0,-0.073973,-2.0129,
184,0.0,-0.073972,-2.0129,
185,0.0,-0.046168,-1.2563,
186,0.0,-0.046163,-1.2562,
187,0.0,-0.046162,-1.2561,
188,0.0,-0.01863,-0.5069,
189,0.0,-0.018608,-0.5063,
190,0.0,-0.018607,-0.5063,
191,0.0,0.024289,0.6609,
192,0.0,0.024292,0.661,
193,0.0,0.024301,0.6613,
194,0.0,0.029611,0.8058,
195,0.0,0.029619,0.806,
196,0.0,0.02962,0.806,
197,0.0,0.029627,0.8062,
198,0.0,0.029635,0.8064,
199,0.0,0.107016,2.912,
200,0.0,0.107029,2.9124,
201,0.0,0.107031,2.9125,
202,0.0,0.107033,2.9125,
203,0.0,0.107047,2.9129,
204,0.0,0.126202,3.4341,
205,0.0,0.126207,3.4343,
206,0.0,0.126209,3.4343,
207,0.0,0.126216,3.4345,
208,0.0,0.131242,3.5713,
209,0.0,0.158082,4.3016,
210,0.0,0.158084,4.3017,
211,0.0,0.15809,4.3018,
212,0.0,0.158098,4.3021,
213,0.0,0.170669,4.6441,
214,0.0,0.17068,4.6444,
215,0.0,0.170684,4.6445,
216,0.0,0.183175,4.9844,
217,0.0,0.183178,4.9845,
218,0.0,0.183183,4.9847,
219,0.0,0.190817,5.1924,
220,0.0,0.190838,5.193,
221,0.0,0.190845,5.1931,
222,0.0,0.190861,5.1936,
