index,occupation,type,energy_Eh,energy_eV,alpha_energy_eV,beta_energy_eV
0,2,DOMO,-14.599558,-397.274,,
1,2,DOMO,-10.404156,-283.111,,
2,2,DOMO,-10.404155,-283.111,,
3,2,DOMO,-10.404141,-283.111,,
4,2,DOMO,-10.404122,-283.111,,
5,2,DOMO,-10.404094,-283.11,,
6,2,DOMO,-10.404054,-283.109,,
7,2,DOMO,-10.404045,-283.108,,
8,2,DOMO,-10.40404,-283.108,,
9,2,DOMO,-10.404023,-283.108,,
10,2,DOMO,-10.403982,-283.107,,
11,2,DOMO,-10.403979,-283.107,,
12,2,DOMO,-10.403972,-283.106,,
13,2,DOMO,-10.403972,-283.106,,
14,2,DOMO,-10.403926,-283.105,,
15,2,DOMO,-10.403923,-283.105,,
16,2,DOMO,-10.403916,-283.105,,
17,2,DOMO,-10.403908,-283.105,,
18,2,DOMO,-10.403884,-283.104,,
19,2,DOMO,-10.403862,-283.103,,
20,2,DOMO,-10.403845,-283.103,,
21,2,DOMO,-10.403843,-283.103,,
22,2,DOMO,-10.403839,-283.103,,
23,2,DOMO,-10.403829,-283.103,,
24,2,DOMO,-10.403822,-283.102,,
25,2,DOMO,-10.403821,-283.102,,
26,2,DOMO,-10.403808,-283.102,,
27,2,DOMO,-10.4038,-283.102,,
28,2,DOMO,-10.403796,-283.102,,
29,2,DOMO,-10.403795,-283.102,,
30,2,DOMO,-10.403785,-283.101,,
31,2,DOMO,-10.403505,-283.094,,
32,2,DOMO,-10.403498,-283.094,,
33,2,DOMO,-10.403489,-283.093,,
34,2,DOMO,-10.403471,-283.093,,
35,2,DOMO,-10.403468,-283.093,,
36,2,DOMO,-10.403456,-283.092,,
37,2,DOMO,-10.403389,-283.091,,
38,2,DOMO,-10.403388,-283.091,,
39,2,DOMO,-10.403383,-283.09,,
40,2,DOMO,-10.403358,-283.09,,
41,2,DOMO,-10.403356,-283.09,,
42,2,DOMO,-10.403349,-283.09,,
43,2,DOMO,-10.403341,-283.089,,
44,2,DOMO,-10.403331,-283.089,,
45,2,DOMO,-10.403312,-283.089,,
46,2,DOMO,-10.403295,-283.088,,
47,2,DOMO,-10.403285,-283.088,,
48,2,DOMO,-10.403274,-283.087,,
49,2,DOMO,-10.403267,-283.087,,
50,2,DOMO,-10.40323,-283.086,,
51,2,DOMO,-10.403208,-283.086,,
52,2,DOMO,-10.403205,-283.086,,
53,2,DOMO,-10.403195,-283.085,,
54,2,DOMO,-10.403112,-283.083,,
55,2,DOMO,-10.403104,-283.083,,
56,2,DOMO,-10.403094,-283.083,,
57,2,DOMO,-10.403082,-283.082,,
58,2,DOMO,-10.403077,-283.082,,
59,2,DOMO,-10.403072,-283.082,,
60,2,DOMO,-10.40307,-283.082,,
61,2,DOMO,-1.112995,-30.286,,
62,2,DOMO,-1.092632,-29.732,,
63,2,DOMO,-1.092607,-29.731,,
64,2,DOMO,-1.092599,-29.731,,
65,2,DOMO,-1.053653,-28.671,,
