index,symbol,x_ang,y_ang,z_ang
,C,-0.706031,5.667805,-2.403608
,C,-0.427563,5.355374,-3.711614
,N,0.788562,5.88916,-4.066858
,C,1.24056,6.518153,-3.0034
,N,0.366746,6.420064,-1.961215
,C,-1.230472,4.588021,-4.680808
,C,-1.862722,5.303576,-1.562391
,C,2.512337,7.268803,-2.99226
,C,-2.62347,4.524797,-4.597638
,C,-3.356201,3.797943,-5.527108
,C,-2.712497,3.128249,-6.561747
,C,-1.327296,3.199112,-6.662558
,C,-0.594426,3.922857,-5.73158
,C,-2.728083,6.273024,-1.061007
,C,-3.835238,5.904785,-0.305833
,C,-4.096585,4.562402,-0.05997
,C,-3.238085,3.589303,-0.561055
,C,-2.124663,3.959048,-1.301649
,C,2.835778,8.028532,-4.118771
,C,4.037069,8.719205,-4.18144
,C,4.933598,8.660122,-3.118826
,C,4.622072,7.901564,-1.998387
,C,3.419992,7.208622,-1.935652
,C,0.522458,7.02665,-0.643735
,C,1.053043,6.060113,0.416358
,N,0.025718,5.240443,1.022005
,C,-0.742013,5.698346,2.028622
,O,-0.68756,6.870997,2.404073
,C,-1.631424,4.679187,2.706596
,C,-0.820886,3.76904,3.657203
,C,-0.084498,2.66411,2.933019
,C,1.217764,2.78321,2.674855
,C,2.094485,1.825769,1.910738
,C,2.554431,2.408856,0.591209
,C,3.728708,3.157008,0.517884
,C,4.130841,3.623969,-0.726949
,C,3.404325,3.382917,-1.876402
,C,2.214755,2.680633,-1.854397
,C,1.822371,2.210984,-0.590213
,C,4.166733,3.985055,-3.02116
,O,5.342751,4.568055,-2.409891
,C,5.328775,4.377123,-1.073999
,C,1.424859,2.424315,-3.107726
,O,4.452018,3.398704,1.635363
,O,0.628796,1.539362,-0.478059
,C,0.692143,0.159501,-0.848024
,O,6.20468,4.791172,-0.344037
,C,-0.946753,1.499844,2.523469
,H,-3.142716,5.057588,-3.810669
,H,-4.437847,3.763354,-5.447071
,H,-3.28628,2.562723,-7.288331
,H,-0.813969,2.687547,-7.470317
,H,0.484196,3.980087,-5.816966
,H,-2.546066,7.320795,-1.275669
,H,-4.501355,6.668901,0.080354
,H,-4.964225,4.275076,0.5244
,H,-3.432471,2.539513,-0.367541
,H,-1.449379,3.201995,-1.683375
,H,2.134742,8.072544,-4.944199
,H,4.27364,9.308353,-5.061033
,H,5.873349,9.19963,-3.16768
,H,5.322381,7.832748,-1.173086
,H,3.211693,6.598764,-1.066524
,H,1.206238,7.866434,-0.754744
,H,-0.436255,7.429436,-0.323594
,H,1.795664,5.390336,-0.019213
,H,1.538582,6.64702,1.19939
,H,-0.024488,4.265571,0.782428
,H,-2.378804,5.236334,3.272215
,H,-2.150246,4.078193,1.957743
,H,-0.119824,4.382916,4.229531
,H,-1.519737,3.324786,4.37268
,H,1.721503,3.685245,3.018826
,H,2.982118,1.602167,2.508484
,H,1.581352,0.884,1.731193
,H,4.498242,3.239329,-3.746537
,H,3.622779,4.777384,-3.537895
,H,0.363535,2.303258,-2.893666
,H,1.537554,3.25722,-3.801447
,H,1.772341,1.517856,-3.613124
,H,5.239287,3.912115,1.389971
,H,-0.308907,-0.246197,-0.7053
,H,0.98873,0.043869,-1.893545
,H,1.401269,-0.377037,-0.209755
,H,-0.402623,0.739173,1.967991
,H,-1.39058,1.035378,3.410279
,H,-1.77632,1.84137,1.895531
