from_state_label,from_root,from_state_suffix,to_state_label,to_root,to_state_suffix,energy_eV,energy_cm1,wavelength_nm,oscillator_strength,velocity_strength_au2,px_au,py_au,pz_au,center_of_mass_x,center_of_mass_y,center_of_mass_z
0-1A,0,1A,2-1A,2,1A,4.398357,35475.1,281.9,0.0397322,0.00963,0.01861,0.0165,-0.09495,1.6455,8.6501,-2.3975
0-1A,0,1A,1-1A,1,1A,4.789097,38626.7,258.9,0.189708395,0.05008,0.02935,-0.03731,-0.2187,1.6455,8.6501,-2.3975
0-1A,0,1A,4-1A,4,1A,4.820972,38883.8,257.2,0.067392082,0.01791,0.11223,0.07271,-0.00518,1.6455,8.6501,-2.3975
0-1A,0,1A,3-1A,3,1A,4.827523,38936.6,256.8,0.362004108,0.09633,-0.26324,-0.16282,-0.02307,1.6455,8.6501,-2.3975
0-1A,0,1A,5-1A,5,1A,4.876485,39331.5,254.2,3.3589e-05,1e-05,-0.00108,0.00153,-0.00235,1.6455,8.6501,-2.3975
0-1A,0,1A,6-1A,6,1A,4.902875,39544.4,252.9,0.001660362,0.00045,0.01788,-0.00711,0.00885,1.6455,8.6501,-2.3975
0-1A,0,1A,7-1A,7,1A,5.394858,43512.5,229.8,0.019535332,0.00581,0.02143,0.07027,-0.02033,1.6455,8.6501,-2.3975
0-1A,0,1A,12-1A,12,1A,5.432637,43817.2,228.2,0.004865493,0.00146,0.0173,-0.0323,-0.01071,1.6455,8.6501,-2.3975
0-1A,0,1A,11-1A,11,1A,5.591782,45100.8,221.7,0.001507379,0.00046,-0.00299,0.02122,-0.00229,1.6455,8.6501,-2.3975
0-1A,0,1A,8-1A,8,1A,5.640551,45494.1,219.8,0.026558489,0.00826,-0.0573,-0.01166,-0.06956,1.6455,8.6501,-2.3975
0-1A,0,1A,9-1A,9,1A,5.752772,46399.2,215.5,0.013410623,0.00425,0.00383,0.0348,0.05502,1.6455,8.6501,-2.3975
0-1A,0,1A,14-1A,14,1A,5.778621,46607.7,214.6,0.006014987,0.00192,0.04136,0.00584,-0.0131,1.6455,8.6501,-2.3975
0-1A,0,1A,13-1A,13,1A,6.001682,48406.8,206.6,0.043802844,0.01449,-0.09839,-0.06131,0.03243,1.6455,8.6501,-2.3975
0-1A,0,1A,10-1A,10,1A,6.021367,48565.6,205.9,0.028756833,0.00955,0.0536,-0.00355,-0.0816,1.6455,8.6501,-2.3975
0-1A,0,1A,18-1A,18,1A,6.119147,49354.3,202.6,0.093196108,0.03144,-0.11839,-0.03392,-0.12756,1.6455,8.6501,-2.3975
0-1A,0,1A,16-1A,16,1A,6.128481,49429.5,202.3,0.588357043,0.19876,-0.36414,-0.15397,0.20605,1.6455,8.6501,-2.3975
0-1A,0,1A,17-1A,17,1A,6.135263,49484.2,202.1,0.089221119,0.03017,-0.13443,0.05228,0.0968,1.6455,8.6501,-2.3975
0-1A,0,1A,15-1A,15,1A,6.136473,49494.0,202.0,0.07476533,0.02529,0.03349,0.0426,0.14951,1.6455,8.6501,-2.3975
0-1A,0,1A,21-1A,21,1A,6.153502,49631.3,201.5,0.063459892,0.02153,0.0212,-0.02693,0.14266,1.6455,8.6501,-2.3975
0-1A,0,1A,19-1A,19,1A,6.213641,50116.4,199.5,0.164301389,0.05628,0.12321,-0.00558,-0.20264,1.6455,8.6501,-2.3975
0-1A,0,1A,20-1A,20,1A,6.316883,50949.1,196.3,0.787323581,0.27416,-0.42026,-0.25126,-0.18548,1.6455,8.6501,-2.3975
0-1A,0,1A,34-1A,34,1A,6.403067,51644.2,193.6,0.008279986,0.00292,-0.04668,0.02311,0.01448,1.6455,8.6501,-2.3975
0-1A,0,1A,23-1A,23,1A,6.523719,52617.3,190.1,0.024813525,0.00892,-0.06576,0.06776,-0.0025,1.6455,8.6501,-2.3975
0-1A,0,1A,25-1A,25,1A,6.547049,52805.5,189.4,0.064835427,0.0234,-0.00712,0.15075,0.02497,1.6455,8.6501,-2.3975
0-1A,0,1A,22-1A,22,1A,6.592042,53168.4,188.1,0.072989527,0.02652,-0.02537,-0.00928,-0.1606,1.6455,8.6501,-2.3975
0-1A,0,1A,24-1A,24,1A,6.608111,53298.0,187.6,0.038178451,0.01391,-0.07862,0.00832,0.08751,1.6455,8.6501,-2.3975
0-1A,0,1A,29-1A,29,1A,6.644616,53592.4,186.6,0.057689181,0.02113,0.08005,-0.06505,-0.10242,1.6455,8.6501,-2.3975
0-1A,0,1A,28-1A,28,1A,6.647998,53619.7,186.5,0.064051269,0.02347,0.13092,-0.07695,0.02027,1.6455,8.6501,-2.3975
0-1A,0,1A,32-1A,32,1A,6.684569,53914.7,185.5,0.034342505,0.01265,-0.09161,-0.04287,0.04923,1.6455,8.6501,-2.3975
0-1A,0,1A,27-1A,27,1A,6.708615,54108.6,184.8,0.185712476,0.06868,0.06655,0.1061,-0.2302,1.6455,8.6501,-2.3975
0-1A,0,1A,42-1A,42,1A,6.779657,54681.6,182.9,0.00575075,0.00215,-0.03117,0.004,0.03408,1.6455,8.6501,-2.3975
