state,energy_rank,output_file,print_threshold,energy_au,energy_eV,energy_cm1,wavelength_nm,energy_match_consistent,energy_matched_state,energy_matched_rank,energy_matched_delta_eV,from_orbital,from_index,from_spin,to_orbital,to_index,to_spin,occupation
1,2,RDB_LMMP_TDDFT_CH2Cl2.s1.nto,0.001,0.175996,4.789,38626.7,258.8882819396946,True,1,2,0.0,169a,169,a,170a,170,a,0.88305494
1,2,RDB_LMMP_TDDFT_CH2Cl2.s1.nto,0.001,0.175996,4.789,38626.7,258.8882819396946,True,1,2,0.0,168a,168,a,171a,171,a,0.05206156
1,2,RDB_LMMP_TDDFT_CH2Cl2.s1.nto,0.001,0.175996,4.789,38626.7,258.8882819396946,True,1,2,0.0,167a,167,a,172a,172,a,0.01458724
1,2,RDB_LMMP_TDDFT_CH2Cl2.s1.nto,0.001,0.175996,4.789,38626.7,258.8882819396946,True,1,2,0.0,166a,166,a,173a,173,a,0.01346046
1,2,RDB_LMMP_TDDFT_CH2Cl2.s1.nto,0.001,0.175996,4.789,38626.7,258.8882819396946,True,1,2,0.0,165a,165,a,174a,174,a,0.0128682
1,2,RDB_LMMP_TDDFT_CH2Cl2.s1.nto,0.001,0.175996,4.789,38626.7,258.8882819396946,True,1,2,0.0,164a,164,a,175a,175,a,0.00550149
1,2,RDB_LMMP_TDDFT_CH2Cl2.s1.nto,0.001,0.175996,4.789,38626.7,258.8882819396946,True,1,2,0.0,163a,163,a,176a,176,a,0.00218207
1,2,RDB_LMMP_TDDFT_CH2Cl2.s1.nto,0.001,0.175996,4.789,38626.7,258.8882819396946,True,1,2,0.0,162a,162,a,177a,177,a,0.00211038
1,2,RDB_LMMP_TDDFT_CH2Cl2.s1.nto,0.001,0.175996,4.789,38626.7,258.8882819396946,True,1,2,0.0,161a,161,a,178a,178,a,0.00158773
1,2,RDB_LMMP_TDDFT_CH2Cl2.s1.nto,0.001,0.175996,4.789,38626.7,258.8882819396946,True,1,2,0.0,160a,160,a,179a,179,a,0.00126705
1,2,RDB_LMMP_TDDFT_CH2Cl2.s1.nto,0.001,0.175996,4.789,38626.7,258.8882819396946,True,1,2,0.0,159a,159,a,180a,180,a,0.00111653
1,2,RDB_LMMP_TDDFT_CH2Cl2.s1.nto,0.001,0.175996,4.789,38626.7,258.8882819396946,True,1,2,0.0,158a,158,a,181a,181,a,0.00100456
2,1,RDB_LMMP_TDDFT_CH2Cl2.s2.nto,0.001,0.161637,4.398,35475.1,281.8878593717847,True,2,1,0.0,169a,169,a,170a,170,a,0.82955151
2,1,RDB_LMMP_TDDFT_CH2Cl2.s2.nto,0.001,0.161637,4.398,35475.1,281.8878593717847,True,2,1,0.0,168a,168,a,171a,171,a,0.12806567
2,1,RDB_LMMP_TDDFT_CH2Cl2.s2.nto,0.001,0.161637,4.398,35475.1,281.8878593717847,True,2,1,0.0,167a,167,a,172a,172,a,0.02668675
2,1,RDB_LMMP_TDDFT_CH2Cl2.s2.nto,0.001,0.161637,4.398,35475.1,281.8878593717847,True,2,1,0.0,166a,166,a,173a,173,a,0.00217464
2,1,RDB_LMMP_TDDFT_CH2Cl2.s2.nto,0.001,0.161637,4.398,35475.1,281.8878593717847,True,2,1,0.0,165a,165,a,174a,174,a,0.00184685
2,1,RDB_LMMP_TDDFT_CH2Cl2.s2.nto,0.001,0.161637,4.398,35475.1,281.8878593717847,True,2,1,0.0,164a,164,a,175a,175,a,0.00163417
2,1,RDB_LMMP_TDDFT_CH2Cl2.s2.nto,0.001,0.161637,4.398,35475.1,281.8878593717847,True,2,1,0.0,163a,163,a,176a,176,a,0.0015239
2,1,RDB_LMMP_TDDFT_CH2Cl2.s2.nto,0.001,0.161637,4.398,35475.1,281.8878593717847,True,2,1,0.0,162a,162,a,177a,177,a,0.00109628
3,4,RDB_LMMP_TDDFT_CH2Cl2.s3.nto,0.001,0.177408,4.828,38936.6,256.82776616345546,True,3,4,0.0,169a,169,a,170a,170,a,0.82123248
3,4,RDB_LMMP_TDDFT_CH2Cl2.s3.nto,0.001,0.177408,4.828,38936.6,256.82776616345546,True,3,4,0.0,168a,168,a,171a,171,a,0.08195469
3,4,RDB_LMMP_TDDFT_CH2Cl2.s3.nto,0.001,0.177408,4.828,38936.6,256.82776616345546,True,3,4,0.0,167a,167,a,172a,172,a,0.02330963
3,4,RDB_LMMP_TDDFT_CH2Cl2.s3.nto,0.001,0.177408,4.828,38936.6,256.82776616345546,True,3,4,0.0,166a,166,a,173a,173,a,0.01635173
3,4,RDB_LMMP_TDDFT_CH2Cl2.s3.nto,0.001,0.177408,4.828,38936.6,256.82776616345546,True,3,4,0.0,165a,165,a,174a,174,a,0.01562755
3,4,RDB_LMMP_TDDFT_CH2Cl2.s3.nto,0.001,0.177408,4.828,38936.6,256.82776616345546,True,3,4,0.0,164a,164,a,175a,175,a,0.01317298
3,4,RDB_LMMP_TDDFT_CH2Cl2.s3.nto,0.001,0.177408,4.828,38936.6,256.82776616345546,True,3,4,0.0,163a,163,a,176a,176,a,0.00951718
3,4,RDB_LMMP_TDDFT_CH2Cl2.s3.nto,0.001,0.177408,4.828,38936.6,256.82776616345546,True,3,4,0.0,162a,162,a,177a,177,a,0.00406112
3,4,RDB_LMMP_TDDFT_CH2Cl2.s3.nto,0.001,0.177408,4.828,38936.6,256.82776616345546,True,3,4,0.0,161a,161,a,178a,178,a,0.00255397
3,4,RDB_LMMP_TDDFT_CH2Cl2.s3.nto,0.001,0.177408,4.828,38936.6,256.82776616345546,True,3,4,0.0,160a,160,a,179a,179,a,0.00142282
3,4,RDB_LMMP_TDDFT_CH2Cl2.s3.nto,0.001,0.177408,4.828,38936.6,256.82776616345546,True,3,4,0.0,159a,159,a,180a,180,a,0.00129656
3,4,RDB_LMMP_TDDFT_CH2Cl2.s3.nto,0.001,0.177408,4.828,38936.6,256.82776616345546,True,3,4,0.0,158a,158,a,181a,181,a,0.00112456
4,3,RDB_LMMP_TDDFT_CH2Cl2.s4.nto,0.001,0.177167,4.821,38883.8,257.17651052623455,True,4,3,0.0,169a,169,a,170a,170,a,0.55079139
4,3,RDB_LMMP_TDDFT_CH2Cl2.s4.nto,0.001,0.177167,4.821,38883.8,257.17651052623455,True,4,3,0.0,168a,168,a,171a,171,a,0.22587708
4,3,RDB_LMMP_TDDFT_CH2Cl2.s4.nto,0.001,0.177167,4.821,38883.8,257.17651052623455,True,4,3,0.0,167a,167,a,172a,172,a,0.09877807
4,3,RDB_LMMP_TDDFT_CH2Cl2.s4.nto,0.001,0.177167,4.821,38883.8,257.17651052623455,True,4,3,0.0,166a,166,a,173a,173,a,0.05913819
4,3,RDB_LMMP_TDDFT_CH2Cl2.s4.nto,0.001,0.177167,4.821,38883.8,257.17651052623455,True,4,3,0.0,165a,165,a,174a,174,a,0.05230348
