block_index,method,manifold,order_in_block,state,energy_rank,state_label,symmetry,energy_au,energy_eV,energy_cm1,wavelength_nm,s_squared,multiplicity,dominant_from_orbital,dominant_to_orbital,dominant_weight,dominant_coefficient
0,TD-DFT/TDA,SINGLETS,1,1,2,,,0.175996,4.789,38626.7,258.8882819396946,0.0,1,169a,171a,0.543125,0.73697018
0,TD-DFT/TDA,SINGLETS,2,2,1,,,0.161637,4.398,35475.1,281.8878593717847,0.0,1,168a,170a,0.735829,-0.857805
0,TD-DFT/TDA,SINGLETS,3,3,4,,,0.177408,4.828,38936.6,256.82776616345546,0.0,1,169a,172a,0.46736,0.68363709
0,TD-DFT/TDA,SINGLETS,4,4,3,,,0.177167,4.821,38883.8,257.17651052623455,0.0,1,169a,173a,0.332028,-0.57621865
0,TD-DFT/TDA,SINGLETS,5,5,5,,,0.179208,4.876,39331.5,254.24913873104254,0.0,1,163a,171a,0.164185,-0.40519708
0,TD-DFT/TDA,SINGLETS,6,6,6,,,0.180177,4.903,39544.4,252.88030669323595,0.0,1,169a,177a,0.162678,-0.40333353
0,TD-DFT/TDA,SINGLETS,7,7,7,,,0.198257,5.395,43512.5,229.8190175237001,0.0,1,162a,170a,0.351595,-0.59295479
0,TD-DFT/TDA,SINGLETS,8,8,10,,,0.207286,5.641,45494.1,219.80872244972426,0.0,1,169a,175a,0.386362,0.62158049
0,TD-DFT/TDA,SINGLETS,9,9,11,,,0.21141,5.753,46399.2,215.52095725788377,0.0,1,169a,173a,0.184469,0.42949835
0,TD-DFT/TDA,SINGLETS,10,10,14,,,0.221281,6.021,48565.6,205.9070617885911,0.0,1,165a,173a,0.112675,0.33567155
0,TD-DFT/TDA,SINGLETS,11,11,9,,,0.205494,5.592,45100.8,221.7255569745991,0.0,1,154a,170a,0.551985,-0.74295702
0,TD-DFT/TDA,SINGLETS,12,12,8,,,0.199646,5.433,43817.2,228.22088129775523,0.0,1,169a,170a,0.746008,0.86371772
0,TD-DFT/TDA,SINGLETS,13,13,13,,,0.220558,6.002,48406.8,206.5825462538321,0.0,1,169a,173a,0.163883,0.40482462
0,TD-DFT/TDA,SINGLETS,14,14,12,,,0.21236,5.779,46607.7,214.5568221559957,0.0,1,158a,181a,0.248125,0.498121
0,TD-DFT/TDA,SINGLETS,15,15,18,,,0.225511,6.136,49494.0,202.04469228593365,0.0,1,169a,175a,0.157823,-0.3972695
0,TD-DFT/TDA,SINGLETS,16,16,16,,,0.225218,6.128,49429.5,202.30833813815636,0.0,1,168a,176a,0.197519,-0.44443155
0,TD-DFT/TDA,SINGLETS,17,17,17,,,0.225467,6.135,49484.2,202.08470582529375,0.0,1,169a,174a,0.294196,0.54239793
0,TD-DFT/TDA,SINGLETS,18,18,15,,,0.224875,6.119,49354.3,202.61659065167572,0.0,1,169a,174a,0.105394,0.32464425
