block_index,method,manifold,state,energy_rank,state_label,from_orbital,from_index,from_spin,to_orbital,to_index,to_spin,weight,coefficient
0,TD-DFT/TDA,SINGLETS,1,2,,164a,164,a,172a,172,a,0.012236,0.11061488
0,TD-DFT/TDA,SINGLETS,1,2,,165a,165,a,172a,172,a,0.010397,-0.10196751
0,TD-DFT/TDA,SINGLETS,1,2,,166a,166,a,175a,175,a,0.013741,-0.11722352
0,TD-DFT/TDA,SINGLETS,1,2,,168a,168,a,170a,170,a,0.012061,0.10982292
0,TD-DFT/TDA,SINGLETS,1,2,,169a,169,a,171a,171,a,0.543125,0.73697018
0,TD-DFT/TDA,SINGLETS,1,2,,169a,169,a,172a,172,a,0.26105,0.5109302
0,TD-DFT/TDA,SINGLETS,1,2,,169a,169,a,173a,173,a,0.011642,0.10789964
0,TD-DFT/TDA,SINGLETS,1,2,,169a,169,a,175a,175,a,0.010585,0.1028848
0,TD-DFT/TDA,SINGLETS,2,1,,162a,162,a,174a,174,a,0.015616,-0.12496242
0,TD-DFT/TDA,SINGLETS,2,1,,162a,162,a,175a,175,a,0.011578,0.10760069
0,TD-DFT/TDA,SINGLETS,2,1,,162a,162,a,176a,176,a,0.033912,0.18415293
0,TD-DFT/TDA,SINGLETS,2,1,,167a,167,a,170a,170,a,0.053693,-0.23171745
0,TD-DFT/TDA,SINGLETS,2,1,,168a,168,a,170a,170,a,0.735829,-0.857805
0,TD-DFT/TDA,SINGLETS,2,1,,169a,169,a,172a,172,a,0.021552,0.14680448
0,TD-DFT/TDA,SINGLETS,3,4,,163a,163,a,174a,174,a,0.010616,0.10303159
0,TD-DFT/TDA,SINGLETS,3,4,,164a,164,a,172a,172,a,0.029697,-0.17232945
0,TD-DFT/TDA,SINGLETS,3,4,,164a,164,a,173a,173,a,0.011772,-0.10849825
0,TD-DFT/TDA,SINGLETS,3,4,,165a,165,a,171a,171,a,0.058684,-0.24224778
0,TD-DFT/TDA,SINGLETS,3,4,,166a,166,a,177a,177,a,0.010891,0.10436189
0,TD-DFT/TDA,SINGLETS,3,4,,168a,168,a,170a,170,a,0.011491,0.10719544
0,TD-DFT/TDA,SINGLETS,3,4,,169a,169,a,170a,170,a,0.011678,-0.1080647
0,TD-DFT/TDA,SINGLETS,3,4,,169a,169,a,171a,171,a,0.215791,-0.46453309
0,TD-DFT/TDA,SINGLETS,3,4,,169a,169,a,172a,172,a,0.46736,0.68363709
0,TD-DFT/TDA,SINGLETS,3,4,,169a,169,a,177a,177,a,0.015578,-0.12481367
0,TD-DFT/TDA,SINGLETS,4,3,,160a,160,a,177a,177,a,0.013743,-0.11722974
0,TD-DFT/TDA,SINGLETS,4,3,,161a,161,a,175a,175,a,0.039862,0.19965389
0,TD-DFT/TDA,SINGLETS,4,3,,161a,161,a,176a,176,a,0.017322,-0.13161125
0,TD-DFT/TDA,SINGLETS,4,3,,164a,164,a,171a,171,a,0.03605,-0.18986855
0,TD-DFT/TDA,SINGLETS,4,3,,164a,164,a,173a,173,a,0.029334,-0.17127131
0,TD-DFT/TDA,SINGLETS,4,3,,164a,164,a,175a,175,a,0.011736,-0.10833192
0,TD-DFT/TDA,SINGLETS,4,3,,165a,165,a,172a,172,a,0.098984,-0.31461653
0,TD-DFT/TDA,SINGLETS,4,3,,165a,165,a,177a,177,a,0.021566,0.1468531
0,TD-DFT/TDA,SINGLETS,4,3,,166a,166,a,171a,171,a,0.038425,0.19602199
0,TD-DFT/TDA,SINGLETS,4,3,,166a,166,a,172a,172,a,0.027695,0.16641878
0,TD-DFT/TDA,SINGLETS,4,3,,166a,166,a,175a,175,a,0.025892,0.16090845
0,TD-DFT/TDA,SINGLETS,4,3,,166a,166,a,177a,177,a,0.032117,0.17921222
0,TD-DFT/TDA,SINGLETS,4,3,,169a,169,a,171a,171,a,0.023373,0.15288263
0,TD-DFT/TDA,SINGLETS,4,3,,169a,169,a,173a,173,a,0.332028,-0.57621865
0,TD-DFT/TDA,SINGLETS,4,3,,169a,169,a,175a,175,a,0.051133,-0.22612637
0,TD-DFT/TDA,SINGLETS,4,3,,169a,169,a,177a,177,a,0.066074,-0.25704922
0,TD-DFT/TDA,SINGLETS,5,5,,159a,159,a,174a,174,a,0.033184,0.18216347
0,TD-DFT/TDA,SINGLETS,5,5,,161a,161,a,172a,172,a,0.021579,0.14689901
0,TD-DFT/TDA,SINGLETS,5,5,,162a,162,a,171a,171,a,0.032152,0.17930873
0,TD-DFT/TDA,SINGLETS,5,5,,162a,162,a,172a,172,a,0.021935,-0.14810441
0,TD-DFT/TDA,SINGLETS,5,5,,163a,163,a,171a,171,a,0.164185,-0.40519708
0,TD-DFT/TDA,SINGLETS,5,5,,163a,163,a,172a,172,a,0.146711,0.38302922
