conformer,relative_energy_kcal_mol,degeneracy,percent_total,percent_cumulative
0,0.0,1,7.97,7.97
1,0.388,1,4.14,12.1
2,0.57,1,3.04,15.15
3,0.655,1,2.64,17.79
4,0.73,1,2.32,20.11
5,0.737,1,2.3,22.4
6,0.747,1,2.26,24.66
7,0.808,1,2.04,26.7
8,0.81,1,2.03,28.73
9,0.82,1,2.0,30.72
10,0.826,1,1.98,32.7
11,0.833,1,1.95,34.65
12,0.897,1,1.75,36.41
13,0.9,1,1.74,38.15
14,0.906,1,1.73,39.88
15,1.05,1,1.35,41.23
16,1.063,1,1.32,42.56
17,1.065,1,1.32,43.87
18,1.091,1,1.26,45.14
19,1.16,1,1.12,46.26
20,1.314,1,0.87,47.13
21,1.33,1,0.84,47.97
22,1.341,1,0.83,48.8
23,1.36,1,0.8,49.6
24,1.382,1,0.77,50.38
25,1.386,1,0.77,51.14
26,1.391,1,0.76,51.91
27,1.401,1,0.75,52.65
28,1.409,1,0.74,53.39
29,1.413,1,0.73,54.13
30,1.455,1,0.68,54.81
31,1.467,1,0.67,55.48
32,1.467,1,0.67,56.15
33,1.474,1,0.66,56.81
34,1.482,1,0.65,57.46
35,1.502,1,0.63,58.1
36,1.541,1,0.59,58.69
37,1.554,1,0.58,59.26
38,1.58,1,0.55,59.82
39,1.585,1,0.55,60.37
40,1.614,1,0.52,60.89
41,1.631,1,0.51,61.4
42,1.661,1,0.48,61.88
43,1.663,1,0.48,62.36
44,1.665,1,0.48,62.84
45,1.675,1,0.47,63.31
46,1.675,1,0.47,63.78
47,1.683,1,0.47,64.25
48,1.697,1,0.45,64.7
49,1.712,1,0.44,65.15
50,1.713,1,0.44,65.59
51,1.726,1,0.43,66.02
52,1.726,1,0.43,66.45
53,1.734,1,0.43,66.88
54,1.749,1,0.42,67.3
55,1.757,1,0.41,67.71
56,1.757,1,0.41,68.12
57,1.763,1,0.41,68.52
58,1.782,1,0.39,68.92
59,1.793,1,0.39,69.3
60,1.825,1,0.37,69.67
61,1.865,1,0.34,70.01
62,1.897,1,0.32,70.33
63,1.935,1,0.3,70.64
64,1.95,1,0.3,70.94
65,1.957,1,0.29,71.23
66,1.961,1,0.29,71.52
67,1.978,1,0.28,71.8
68,1.99,1,0.28,72.08
69,1.99,1,0.28,72.36
70,2.004,1,0.27,72.63
71,2.007,1,0.27,72.9
72,2.017,1,0.26,73.16
73,2.017,1,0.26,73.42
74,2.02,1,0.26,73.69
75,2.031,1,0.26,73.95
76,2.034,1,0.26,74.2
77,2.06,1,0.25,74.45
78,2.061,1,0.25,74.7
79,2.065,1,0.24,74.94
80,2.071,1,0.24,75.18
81,2.073,1,0.24,75.42
82,2.073,1,0.24,75.66
83,2.086,1,0.24,75.9
84,2.1,1,0.23,76.13
85,2.101,1,0.23,76.36
86,2.102,1,0.23,76.59
87,2.102,1,0.23,76.82
88,2.109,1,0.23,77.04
89,2.11,1,0.23,77.27
90,2.119,1,0.22,77.49
91,2.124,1,0.22,77.71
92,2.134,1,0.22,77.93
93,2.135,1,0.22,78.15
94,2.138,1,0.22,78.36
95,2.154,1,0.21,78.57
96,2.158,1,0.21,78.78
97,2.163,1,0.21,78.99
98,2.166,1,0.21,79.2
99,2.169,1,0.2,79.4
100,2.17,1,0.2,79.6
101,2.176,1,0.2,79.81
102,2.189,1,0.2,80.0
103,2.189,1,0.2,80.2
104,2.202,1,0.19,80.4
105,2.203,1,0.19,80.59
106,2.221,1,0.19,80.78
107,2.257,1,0.18,80.95
108,2.27,1,0.17,81.13
109,2.274,1,0.17,81.3
110,2.287,1,0.17,81.47
111,2.287,1,0.17,81.63
112,2.3,1,0.16,81.8
113,2.314,1,0.16,81.96
114,2.322,1,0.16,82.12
115,2.325,1,0.16,82.27
116,2.336,1,0.15,82.43
117,2.341,1,0.15,82.58
118,2.347,1,0.15,82.73
119,2.382,1,0.14,82.88
120,2.382,1,0.14,83.02
121,2.383,1,0.14,83.16
122,2.39,1,0.14,83.3
123,2.392,1,0.14,83.44
124,2.397,1,0.14,83.58
125,2.413,1,0.14,83.72
126,2.413,1,0.14,83.86
127,2.423,1,0.13,83.99
128,2.435,1,0.13,84.12
129,2.444,1,0.13,84.25
130,2.447,1,0.13,84.38
131,2.457,1,0.13,84.5
132,2.459,1,0.13,84.63
133,2.462,1,0.12,84.75
134,2.465,1,0.12,84.88
135,2.47,1,0.12,85.0
136,2.474,1,0.12,85.12
