block_index,method,manifold,state,state_label,from_orbital,from_index,from_spin,to_orbital,to_index,to_spin,weight,coefficient
0,TD-DFT/TDA,SINGLETS,1,,164a,164,a,171a,171,a,0.011375,-0.10665507
0,TD-DFT/TDA,SINGLETS,1,,165a,165,a,171a,171,a,0.010314,0.10155546
0,TD-DFT/TDA,SINGLETS,1,,166a,166,a,174a,174,a,0.010194,-0.10096461
0,TD-DFT/TDA,SINGLETS,1,,168a,168,a,170a,170,a,0.014759,-0.12148538
0,TD-DFT/TDA,SINGLETS,1,,169a,169,a,171a,171,a,0.015244,-0.12346833
0,TD-DFT/TDA,SINGLETS,1,,169a,169,a,172a,172,a,0.828282,0.91009998
0,TD-DFT/TDA,SINGLETS,1,,169a,169,a,174a,174,a,0.021233,-0.14571603
0,TD-DFT/TDA,SINGLETS,2,,164a,164,a,176a,176,a,0.017469,0.1321694
0,TD-DFT/TDA,SINGLETS,2,,165a,165,a,176a,176,a,0.028143,0.16775834
0,TD-DFT/TDA,SINGLETS,2,,166a,166,a,176a,176,a,0.013288,-0.11527482
0,TD-DFT/TDA,SINGLETS,2,,167a,167,a,170a,170,a,0.046771,-0.21626702
0,TD-DFT/TDA,SINGLETS,2,,168a,168,a,170a,170,a,0.722636,0.85008024
0,TD-DFT/TDA,SINGLETS,2,,169a,169,a,170a,170,a,0.036246,-0.1903828
0,TD-DFT/TDA,SINGLETS,2,,169a,169,a,172a,172,a,0.014384,0.11993512
0,TD-DFT/TDA,SINGLETS,3,,165a,165,a,172a,172,a,0.016785,0.12955854
0,TD-DFT/TDA,SINGLETS,3,,166a,166,a,171a,171,a,0.019003,-0.13785159
0,TD-DFT/TDA,SINGLETS,3,,169a,169,a,171a,171,a,0.792557,0.89025648
0,TD-DFT/TDA,SINGLETS,3,,169a,169,a,172a,172,a,0.019593,0.13997558
0,TD-DFT/TDA,SINGLETS,4,,154a,154,a,177a,177,a,0.013425,0.11586679
0,TD-DFT/TDA,SINGLETS,4,,161a,161,a,174a,174,a,0.023319,0.1527048
0,TD-DFT/TDA,SINGLETS,4,,163a,163,a,172a,172,a,0.150578,0.38804416
0,TD-DFT/TDA,SINGLETS,4,,163a,163,a,174a,174,a,0.050216,-0.22408899
0,TD-DFT/TDA,SINGLETS,4,,164a,164,a,172a,172,a,0.022901,-0.151331
0,TD-DFT/TDA,SINGLETS,4,,164a,164,a,173a,173,a,0.010123,-0.10061519
0,TD-DFT/TDA,SINGLETS,4,,165a,165,a,171a,171,a,0.018299,-0.13527403
0,TD-DFT/TDA,SINGLETS,4,,165a,165,a,173a,173,a,0.01448,0.12033206
0,TD-DFT/TDA,SINGLETS,4,,165a,165,a,177a,177,a,0.024666,0.15705258
0,TD-DFT/TDA,SINGLETS,4,,166a,166,a,171a,171,a,0.028472,-0.1687373
0,TD-DFT/TDA,SINGLETS,4,,166a,166,a,177a,177,a,0.039729,0.19932133
0,TD-DFT/TDA,SINGLETS,4,,169a,169,a,171a,171,a,0.010287,0.10142706
0,TD-DFT/TDA,SINGLETS,4,,169a,169,a,173a,173,a,0.260071,0.50997127
0,TD-DFT/TDA,SINGLETS,4,,169a,169,a,176a,176,a,0.031431,-0.17728699
0,TD-DFT/TDA,SINGLETS,4,,169a,169,a,177a,177,a,0.184434,0.42945811
0,TD-DFT/TDA,SINGLETS,5,,158a,158,a,175a,175,a,0.024914,-0.15784132
0,TD-DFT/TDA,SINGLETS,5,,162a,162,a,171a,171,a,0.268941,-0.51859479
0,TD-DFT/TDA,SINGLETS,5,,162a,162,a,172a,172,a,0.080371,0.28349818
0,TD-DFT/TDA,SINGLETS,5,,162a,162,a,173a,173,a,0.016508,-0.12848405
0,TD-DFT/TDA,SINGLETS,5,,162a,162,a,174a,174,a,0.016049,0.12668327
0,TD-DFT/TDA,SINGLETS,5,,164a,164,a,175a,175,a,0.038855,0.19711761
0,TD-DFT/TDA,SINGLETS,5,,165a,165,a,175a,175,a,0.063444,-0.2518805
0,TD-DFT/TDA,SINGLETS,5,,165a,165,a,176a,176,a,0.011538,-0.10741729
0,TD-DFT/TDA,SINGLETS,5,,166a,166,a,175a,175,a,0.038508,-0.19623436
0,TD-DFT/TDA,SINGLETS,5,,166a,166,a,176a,176,a,0.010083,-0.10041527
0,TD-DFT/TDA,SINGLETS,5,,169a,169,a,170a,170,a,0.037875,0.19461487
0,TD-DFT/TDA,SINGLETS,5,,169a,169,a,174a,174,a,0.0142,-0.11916529
0,TD-DFT/TDA,SINGLETS,5,,169a,169,a,175a,175,a,0.186828,0.43223636
0,TD-DFT/TDA,SINGLETS,5,,169a,169,a,176a,176,a,0.046769,0.21626037
0,TD-DFT/TDA,SINGLETS,6,,159a,159,a,173a,173,a,0.035511,0.1884428
0,TD-DFT/TDA,SINGLETS,6,,160a,160,a,173a,173,a,0.01817,0.13479581
0,TD-DFT/TDA,SINGLETS,6,,161a,161,a,171a,171,a,0.088665,0.29776738
0,TD-DFT/TDA,SINGLETS,6,,161a,161,a,172a,172,a,0.128182,0.35802499
0,TD-DFT/TDA,SINGLETS,6,,161a,161,a,174a,174,a,0.093212,0.30530565
0,TD-DFT/TDA,SINGLETS,6,,163a,163,a,171a,171,a,0.011495,0.10721442
0,TD-DFT/TDA,SINGLETS,6,,163a,163,a,174a,174,a,0.059912,0.24476957
0,TD-DFT/TDA,SINGLETS,6,,164a,164,a,173a,173,a,0.103397,-0.32155337
0,TD-DFT/TDA,SINGLETS,6,,164a,164,a,177a,177,a,0.017989,0.13412188
0,TD-DFT/TDA,SINGLETS,6,,165a,165,a,173a,173,a,0.011728,0.10829661
0,TD-DFT/TDA,SINGLETS,6,,165a,165,a,177a,177,a,0.010549,-0.10270985
0,TD-DFT/TDA,SINGLETS,6,,166a,166,a,173a,173,a,0.094748,-0.30781109
0,TD-DFT/TDA,SINGLETS,6,,169a,169,a,173a,173,a,0.079207,0.28143681
0,TD-DFT/TDA,SINGLETS,6,,169a,169,a,176a,176,a,0.013112,0.11450636
0,TD-DFT/TDA,SINGLETS,6,,169a,169,a,177a,177,a,0.078766,-0.28065243
0,TD-DFT/TDA,SINGLETS,7,,164a,164,a,170a,170,a,0.156164,-0.39517613
0,TD-DFT/TDA,SINGLETS,7,,165a,165,a,170a,170,a,0.277841,-0.52710595
0,TD-DFT/TDA,SINGLETS,7,,166a,166,a,170a,170,a,0.14885,0.38581041
0,TD-DFT/TDA,SINGLETS,7,,167a,167,a,170a,170,a,0.126039,0.35501971
0,TD-DFT/TDA,SINGLETS,7,,167a,167,a,176a,176,a,0.014452,-0.12021691
0,TD-DFT/TDA,SINGLETS,7,,168a,168,a,175a,175,a,0.038411,-0.19598799
0,TD-DFT/TDA,SINGLETS,7,,168a,168,a,176a,176,a,0.103261,0.32134319
0,TD-DFT/TDA,SINGLETS,7,,168a,168,a,177a,177,a,0.014875,0.12196352
0,TD-DFT/TDA,SINGLETS,7,,169a,169,a,170a,170,a,0.02149,0.1465939
0,TD-DFT/TDA,SINGLETS,8,,161a,161,a,173a,173,a,0.013324,-0.11542855
0,TD-DFT/TDA,SINGLETS,8,,165a,165,a,172a,172,a,0.014706,-0.12126971
0,TD-DFT/TDA,SINGLETS,8,,166a,166,a,172a,172,a,0.045627,-0.21360473
0,TD-DFT/TDA,SINGLETS,8,,169a,169,a,172a,172,a,0.023695,0.15393116
0,TD-DFT/TDA,SINGLETS,8,,169a,169,a,174a,174,a,0.732017,0.85558017
0,TD-DFT/TDA,SINGLETS,8,,169a,169,a,175a,175,a,0.037718,0.19421239
0,TD-DFT/TDA,SINGLETS,9,,155a,155,a,170a,170,a,0.591546,-0.76912039
0,TD-DFT/TDA,SINGLETS,9,,155a,155,a,184a,184,a,0.012242,0.11064212
0,TD-DFT/TDA,SINGLETS,9,,155a,155,a,186a,186,a,0.030739,0.17532475
0,TD-DFT/TDA,SINGLETS,9,,155a,155,a,187a,187,a,0.010837,-0.10410082
0,TD-DFT/TDA,SINGLETS,9,,155a,155,a,191a,191,a,0.011722,0.10826942
0,TD-DFT/TDA,SINGLETS,9,,157a,157,a,170a,170,a,0.141051,-0.37556757
0,TD-DFT/TDA,SINGLETS,9,,162a,162,a,170a,170,a,0.010017,-0.10008603
0,TD-DFT/TDA,SINGLETS,9,,169a,169,a,170a,170,a,0.05812,0.24108091
1,TD-DFT/TDA,SINGLETS,1,,169a,169,a,170a,170,a,0.454037,-0.67382293
1,TD-DFT/TDA,SINGLETS,1,,169a,169,a,171a,171,a,0.435619,-0.66001428
1,TD-DFT/TDA,SINGLETS,1,,169a,169,a,175a,175,a,0.011933,-0.10923805
