step,coord_1_label,coord_1_value,actual_energy_Eh,relative_actual_energy_kcal_mol,scf_energy_Eh,relative_scf_energy_kcal_mol,optimized_xyz_file
1,"D(5,2,0,4)",-180.0,-467.64138313,0.9335583946593309,-467.64138313,0.9335583946593309,F3CNO.001.xyz
2,"D(5,2,0,4)",-165.0,-467.64162362,0.7826486412507075,-467.64162362,0.7826486412507075,F3CNO.002.xyz
3,"D(5,2,0,4)",-150.0,-467.64218329,0.43145041395418854,-467.64218329,0.43145041395418854,F3CNO.003.xyz
4,"D(5,2,0,4)",-135.0,-467.64268855,0.11439497711387267,-467.64268855,0.11439497711387267,F3CNO.004.xyz
5,"D(5,2,0,4)",-120.0,-467.64286513,0.0035893541850713345,-467.64286513,0.0035893541850713345,F3CNO.005.xyz
6,"D(5,2,0,4)",-105.0,-467.64262964,0.15136156023161623,-467.64262964,0.15136156023161623,F3CNO.006.xyz
7,"D(5,2,0,4)",-90.0,-467.64211101,0.47680679872455045,-467.64211101,0.47680679872455045,F3CNO.007.xyz
8,"D(5,2,0,4)",-75.0,-467.64160024,0.7973198127628706,-467.64160024,0.7973198127628706,F3CNO.008.xyz
9,"D(5,2,0,4)",-60.0,-467.64139962,0.9232107634285202,-467.64139962,0.9232107634285202,F3CNO.009.xyz
10,"D(5,2,0,4)",-45.0,-467.64162439,0.7821654589647948,-467.64162439,0.7821654589647948,F3CNO.010.xyz
11,"D(5,2,0,4)",-30.0,-467.64214221,0.45722850315664504,-467.64214221,0.45722850315664504,F3CNO.011.xyz
12,"D(5,2,0,4)",-15.0,-467.64265075,0.1381148352496593,-467.64265075,0.1381148352496593,F3CNO.012.xyz
13,"D(5,2,0,4)",0.0,-467.64286929,0.0009789147712613122,-467.64286929,0.0009789147712613122,F3CNO.013.xyz
14,"D(5,2,0,4)",15.0,-467.64267266,0.1243661026469661,-467.64267266,0.1243661026469661,F3CNO.014.xyz
15,"D(5,2,0,4)",30.0,-467.64216134,0.44522424692008367,-467.64216134,0.44522424692008367,F3CNO.015.xyz
16,"D(5,2,0,4)",45.0,-467.64162431,0.7822156597268685,-467.64162431,0.7822156597268685,F3CNO.016.xyz
17,"D(5,2,0,4)",60.0,-467.64139112,0.9285445939797233,-467.64139112,0.9285445939797233,F3CNO.017.xyz
18,"D(5,2,0,4)",75.0,-467.6415978,0.798850935881272,-467.6415978,0.798850935881272,F3CNO.018.xyz
19,"D(5,2,0,4)",90.0,-467.64211557,0.47394535553604206,-467.64211557,0.47394535553604206,F3CNO.019.xyz
20,"D(5,2,0,4)",105.0,-467.64263673,0.14691251806291483,-467.64263673,0.14691251806291483,F3CNO.020.xyz
21,"D(5,2,0,4)",120.0,-467.64287085,0.0,-467.64287085,0.0,F3CNO.021.xyz
22,"D(5,2,0,4)",135.0,-467.64269499,0.11035381610580845,-467.64269499,0.11035381610580845,F3CNO.022.xyz
23,"D(5,2,0,4)",150.0,-467.64219623,0.42333044133975256,-467.64219623,0.42333044133975256,F3CNO.023.xyz
24,"D(5,2,0,4)",165.0,-467.64163666,0.7744659177104318,-467.64163666,0.7744659177104318,F3CNO.024.xyz
25,"D(5,2,0,4)",180.0,-467.64138842,0.9302388695481117,-467.64138842,0.9302388695481117,F3CNO.025.xyz
26,"D(5,2,0,4)",195.0,-467.64163293,0.7768065280503897,-467.64163293,0.7768065280503897,F3CNO.026.xyz
27,"D(5,2,0,4)",210.0,-467.6421938,0.42485528939410583,-467.6421938,0.42485528939410583,F3CNO.027.xyz
28,"D(5,2,0,4)",225.0,-467.6426899,0.11354783932967846,-467.6426899,0.11354783932967846,F3CNO.028.xyz
29,"D(5,2,0,4)",240.0,-467.64286038,0.006570024196880758,-467.64286038,0.006570024196880758,F3CNO.029.xyz
30,"D(5,2,0,4)",255.0,-467.64263367,0.14883269704279967,-467.64263367,0.14883269704279967,F3CNO.030.xyz
31,"D(5,2,0,4)",270.0,-467.64211965,0.4713851168843057,-467.64211965,0.4713851168843057,F3CNO.031.xyz
32,"D(5,2,0,4)",285.0,-467.64159648,0.7996792484019821,-467.64159648,0.7996792484019821,F3CNO.032.xyz
33,"D(5,2,0,4)",300.0,-467.64138324,0.9334893686337733,-467.64138324,0.9334893686337733,F3CNO.033.xyz
34,"D(5,2,0,4)",315.0,-467.64160591,0.793761834040719,-467.64160591,0.793761834040719,F3CNO.034.xyz
35,"D(5,2,0,4)",330.0,-467.64214231,0.45716575219513556,-467.64214231,0.45716575219513556,F3CNO.035.xyz
36,"D(5,2,0,4)",345.0,-467.64265881,0.1330571088720262,-467.64265881,0.1330571088720262,F3CNO.036.xyz
37,"D(5,2,0,4)",360.0,-467.64286504,0.0036458300468628904,-467.64286504,0.0036458300468628904,F3CNO.037.xyz
