cycle,energy_Eh,energy_change_Eh,trust_radius_bohr,energy_change_val,energy_change_tol,energy_change_conv,rms_gradient_val,rms_gradient_tol,rms_gradient_conv,max_gradient_val,max_gradient_tol,max_gradient_conv,rms_step_val,rms_step_tol,rms_step_conv,max_step_val,max_step_tol,max_step_conv,rmsd_to_initial_ang,rmsd_to_previous_ang,orca_converged
1,-2089.880985200584,,,,,,0.0024625652,0.0001,False,0.013888892,0.0003,False,0.013972393,0.002,False,0.1316447563,0.004,False,0.0,,False
2,-2089.88583974652,-0.004854545936268551,0.45,-0.0048545459,5e-06,False,0.0012521207,0.0001,False,0.0075857336,0.0003,False,0.013972393,0.002,False,0.152801248,0.004,False,0.16640629,0.16640629,False
3,-2089.885062653677,0.0007770928432364599,0.3,0.0007770928,5e-06,False,0.0015348837,0.0001,False,0.008317167,0.0003,False,0.0109042056,0.002,False,0.0959016972,0.004,False,0.25945795,0.38138417,False
4,-2089.886943558693,-0.0018809050161507912,0.45,-0.001880905,5e-06,False,0.0006312398,0.0001,False,0.0032989285,0.0003,False,0.0133816347,0.002,False,0.1273557005,0.004,False,0.17435491,0.15839259,False
5,-2089.887796736759,-0.0008531780658813659,0.675,-0.0008531781,5e-06,False,0.0006926468,0.0001,False,0.0038346365,0.0003,False,0.0078334014,0.002,False,0.0584188257,0.004,False,0.19642025,0.21126405,False
6,-2089.888299069012,-0.0005023322532906604,0.7,-0.0005023323,5e-06,False,0.0003367444,0.0001,False,0.0015739585,0.0003,False,0.0179269099,0.002,False,0.1731783785,0.004,False,0.19177778,0.05675735,False
7,-2089.888866452197,-0.0005673831847161637,0.7,-0.0005673832,5e-06,False,0.0005111622,0.0001,False,0.0028799199,0.0003,False,0.0184209609,0.002,False,0.1706093221,0.004,False,0.27860993,0.13018425,False
8,-2089.88941020311,-0.0005437509130388207,0.7,-0.0005437509,5e-06,False,0.0004526369,0.0001,False,0.0020717635,0.0003,False,0.0182327583,0.002,False,0.1853728949,0.004,False,0.30321092,0.0645923,False
9,-2089.889860371143,-0.0004501680332396063,0.7,-0.000450168,5e-06,False,0.0002868896,0.0001,False,0.0012341426,0.0003,False,0.0185860969,0.002,False,0.1902621393,0.004,False,0.35131636,0.05936869,False
10,-2089.890161376724,-0.000301005580695346,0.7,-0.0003010056,5e-06,False,0.0003142951,0.0001,False,0.0020126118,0.0003,False,0.0113751263,0.002,False,0.1015156955,0.004,False,0.38569372,0.04719462,False
