block_index,method,manifold,order_in_block,state,state_label,symmetry,energy_au,energy_eV,energy_cm1,wavelength_nm,s_squared,multiplicity,dominant_from_orbital,dominant_to_orbital,dominant_weight,dominant_coefficient
0,TD-DFT/TDA,SINGLETS,1,1,,,0.17539,4.773,38493.7,259.78276964802035,0.0,1,169a,172a,0.828282,0.91009998
0,TD-DFT/TDA,SINGLETS,2,2,,,0.176857,4.813,38815.7,257.62771249777796,0.0,1,168a,170a,0.722636,0.85008024
0,TD-DFT/TDA,SINGLETS,3,3,,,0.177903,4.841,39045.1,256.11408345733525,0.0,1,169a,171a,0.792557,0.89025648
0,TD-DFT/TDA,SINGLETS,4,4,,,0.19238,5.235,42222.4,236.84110803743982,0.0,1,169a,173a,0.260071,0.50997127
0,TD-DFT/TDA,SINGLETS,5,5,,,0.196034,5.334,43024.5,232.42571093214332,0.0,1,162a,171a,0.268941,-0.51859479
0,TD-DFT/TDA,SINGLETS,6,6,,,0.199934,5.44,43880.4,227.89217965196306,0.0,1,161a,172a,0.128182,0.35802499
0,TD-DFT/TDA,SINGLETS,7,7,,,0.204079,5.553,44790.2,223.2631245227751,0.0,1,165a,170a,0.277841,-0.52710595
0,TD-DFT/TDA,SINGLETS,8,8,,,0.208183,5.665,45690.8,218.86244057884736,0.0,1,169a,174a,0.732017,0.85558017
0,TD-DFT/TDA,SINGLETS,9,9,,,0.212854,5.792,46716.0,214.05942289579588,0.0,1,155a,170a,0.591546,-0.76912039
1,TD-DFT/TDA,SINGLETS,1,1,,,0.159014,4.327,34899.5,286.53705640481957,0.0,1,169a,170a,0.454037,-0.67382293
1,TD-DFT/TDA,SINGLETS,2,2,,,0.167212,4.55,36698.9,272.48773123990094,0.0,1,169a,172a,0.705686,0.84005094
1,TD-DFT/TDA,SINGLETS,3,3,,,0.177606,4.833,38980.0,256.5418163160595,0.0,1,168a,171a,0.344179,-0.58666765
1,TD-DFT/TDA,SINGLETS,4,4,,,0.185789,5.056,40776.0,245.2422993917991,0.0,1,169a,173a,0.281157,0.53024196
1,TD-DFT/TDA,SINGLETS,5,5,,,0.192116,5.228,42164.5,237.16633661018156,0.0,1,169a,174a,0.206112,-0.45399549
1,TD-DFT/TDA,SINGLETS,6,6,,,0.196078,5.336,43034.3,232.37278171133258,0.0,1,169a,173a,0.128333,-0.35823622
1,TD-DFT/TDA,SINGLETS,7,7,,,0.201478,5.482,44219.3,226.14559705829805,0.0,1,169a,175a,0.74373,0.86239776
1,TD-DFT/TDA,SINGLETS,8,8,,,0.203342,5.533,44628.4,224.07256365901532,0.0,1,169a,171a,0.15287,0.39098594
1,TD-DFT/TDA,SINGLETS,9,9,,,0.207656,5.651,45575.2,219.41757798100724,0.0,1,169a,171a,0.243955,0.49391809
2,TD-DFT/TDA,SINGLETS,1,1,,,0.141328,3.846,31018.0,322.39344896511705,0.0,1,169a,170a,0.917688,-0.95796027
2,TD-DFT/TDA,SINGLETS,2,2,,,0.158391,4.31,34762.8,287.66382454808013,0.0,1,169a,171a,0.552565,0.74334725
2,TD-DFT/TDA,SINGLETS,3,3,,,0.177743,4.837,39010.1,256.34386992086667,0.0,1,169a,173a,0.291112,-0.53954814
2,TD-DFT/TDA,SINGLETS,4,4,,,0.178702,4.863,39220.6,254.96805250302137,0.0,1,168a,172a,0.480636,-0.69327908
2,TD-DFT/TDA,SINGLETS,5,5,,,0.188611,5.132,41395.2,241.573902288188,0.0,1,169a,175a,0.254461,0.50444121
2,TD-DFT/TDA,SINGLETS,6,6,,,0.190664,5.188,41845.9,238.97203788184743,0.0,1,169a,174a,0.683491,-0.82673495
2,TD-DFT/TDA,SINGLETS,7,7,,,0.192659,5.243,42283.8,236.4971927783217,0.0,1,169a,173a,0.181451,0.42597049
2,TD-DFT/TDA,SINGLETS,8,8,,,0.19882,5.41,43635.8,229.16962677434583,0.0,1,169a,172a,0.543368,0.73713479
2,TD-DFT/TDA,SINGLETS,9,9,,,0.206017,5.606,45215.6,221.1626075956086,0.0,1,164a,172a,0.210386,-0.45867899
3,TD-DFT/TDA,SINGLETS,1,1,,,0.145794,3.967,31998.0,312.51953247077944,0.0,1,169a,170a,0.899053,-0.94818395
3,TD-DFT/TDA,SINGLETS,2,2,,,0.162593,4.424,35685.1,280.2290031413671,0.0,1,169a,172a,0.769749,0.87735322
3,TD-DFT/TDA,SINGLETS,3,3,,,0.178116,4.847,39092.0,255.80681469354343,0.0,1,168a,171a,0.693559,0.8328017
3,TD-DFT/TDA,SINGLETS,4,4,,,0.180626,4.915,39642.9,252.2519795474095,0.0,1,169a,173a,0.297526,-0.54545952
3,TD-DFT/TDA,SINGLETS,5,5,,,0.191026,5.198,41925.3,238.5194619955015,0.0,1,162a,172a,0.164235,-0.40525934
3,TD-DFT/TDA,SINGLETS,6,6,,,0.19259,5.241,42268.7,236.58167864164264,0.0,1,169a,173a,0.120716,-0.34744214
3,TD-DFT/TDA,SINGLETS,7,7,,,0.196274,5.341,43077.2,232.14136480551198,0.0,1,169a,174a,0.723629,0.85066412
3,TD-DFT/TDA,SINGLETS,8,8,,,0.200677,5.461,44043.4,227.04877461776337,0.0,1,169a,171a,0.729241,-0.85395619
3,TD-DFT/TDA,SINGLETS,9,9,,,0.205911,5.603,45192.3,221.27663340878865,0.0,1,164a,171a,0.297587,0.54551496
4,TD-DFT/TDA,SINGLETS,1,1,,,0.147661,4.018,32407.8,308.56769049426373,0.0,1,169a,170a,0.894866,0.94597381
4,TD-DFT/TDA,SINGLETS,2,2,,,0.167544,4.559,36771.7,271.94826456214975,0.0,1,169a,172a,0.796173,0.89228517
4,TD-DFT/TDA,SINGLETS,3,3,,,0.177707,4.836,39002.2,256.3957930578275,0.0,1,168a,171a,0.740311,-0.86041348
4,TD-DFT/TDA,SINGLETS,4,4,,,0.18266,4.97,40089.1,249.4443626821256,0.0,1,169a,173a,0.30502,-0.55228652
4,TD-DFT/TDA,SINGLETS,5,5,,,0.192062,5.226,42152.8,237.23216488584387,0.0,1,169a,173a,0.180289,0.42460511
4,TD-DFT/TDA,SINGLETS,6,6,,,0.194341,5.288,42652.8,234.45119663890762,0.0,1,162a,172a,0.265838,0.51559477
4,TD-DFT/TDA,SINGLETS,7,7,,,0.199962,5.441,43886.6,227.85998459666504,0.0,1,169a,175a,0.409269,0.63974143
4,TD-DFT/TDA,SINGLETS,8,8,,,0.202809,5.519,44511.4,224.6615473788737,0.0,1,169a,171a,0.67963,0.82439666
4,TD-DFT/TDA,SINGLETS,9,9,,,0.206006,5.606,45213.1,221.17483649650214,0.0,1,164a,171a,0.220545,0.46962249
5,TD-DFT/TDA,SINGLETS,1,1,,,0.141111,3.84,30970.3,322.8899946077371,0.0,1,169a,170a,0.913113,-0.95556969
5,TD-DFT/TDA,SINGLETS,2,2,,,0.170292,4.634,37374.8,267.5599601870779,0.0,1,169a,172a,0.779517,-0.88290259
5,TD-DFT/TDA,SINGLETS,3,3,,,0.177544,4.831,38966.4,256.6313541923298,0.0,1,168a,171a,0.737636,-0.85885759
5,TD-DFT/TDA,SINGLETS,4,4,,,0.181634,4.943,39864.1,250.85227058932725,0.0,1,169a,173a,0.392801,0.62673856
5,TD-DFT/TDA,SINGLETS,5,5,,,0.188432,5.127,41356.0,241.8028822903569,0.0,1,169a,177a,0.24013,-0.49003054
5,TD-DFT/TDA,SINGLETS,6,6,,,0.196004,5.334,43017.9,232.46137073171866,0.0,1,162a,172a,0.268121,-0.51780446
5,TD-DFT/TDA,SINGLETS,7,7,,,0.201096,5.472,44135.4,226.57549268840884,0.0,1,169a,175a,0.267999,0.51768641
5,TD-DFT/TDA,SINGLETS,8,8,,,0.202297,5.505,44399.2,225.22928341051193,0.0,1,169a,171a,0.662355,0.81385208
5,TD-DFT/TDA,SINGLETS,9,9,,,0.206035,5.606,45219.4,221.1440222559344,0.0,1,165a,171a,0.252148,-0.5021433
6,TD-DFT/TDA,SINGLETS,1,1,,,0.133913,3.644,29390.5,340.24599785645023,0.0,1,169a,170a,0.927386,0.96300861
6,TD-DFT/TDA,SINGLETS,2,2,,,0.171615,4.67,37665.1,265.49776849125584,0.0,1,169a,172a,0.734895,0.85725988
6,TD-DFT/TDA,SINGLETS,3,3,,,0.177787,4.838,39019.6,256.2814585490369,0.0,1,168a,171a,0.682999,-0.82643744
6,TD-DFT/TDA,SINGLETS,4,4,,,0.178721,4.863,39224.7,254.94140171881494,0.0,1,169a,173a,0.442427,-0.66515185
6,TD-DFT/TDA,SINGLETS,5,5,,,0.186584,5.077,40950.5,244.19726254868684,0.0,1,169a,177a,0.307146,-0.55420779
6,TD-DFT/TDA,SINGLETS,6,6,,,0.196378,5.344,43100.1,232.0180231600391,0.0,1,162a,172a,0.259156,0.50907355
6,TD-DFT/TDA,SINGLETS,7,7,,,0.19881,5.41,43633.7,229.1806562358911,0.0,1,167a,170a,0.285697,-0.53450666
6,TD-DFT/TDA,SINGLETS,8,8,,,0.201238,5.476,44166.6,226.41543609877147,0.0,1,169a,171a,0.644184,0.80261092
6,TD-DFT/TDA,SINGLETS,9,9,,,0.205329,5.587,45064.6,221.90366718000382,0.0,1,169a,176a,0.365759,0.60477994
7,TD-DFT/TDA,SINGLETS,1,1,,,0.127496,3.469,27982.1,357.3713195221231,0.0,1,169a,170a,0.93078,0.96476914
7,TD-DFT/TDA,SINGLETS,2,2,,,0.166211,4.523,36479.1,274.12957008259525,0.0,1,169a,172a,0.789342,-0.88844933
7,TD-DFT/TDA,SINGLETS,3,3,,,0.174636,4.752,38328.1,260.90518444692015,0.0,1,169a,173a,0.56367,-0.75077992
