index,symbol,x_ang,y_ang,z_ang
,C,-0.827704,5.76755,-2.401245
,C,-0.407078,5.325626,-3.725967
,N,0.876553,5.734022,-3.944534
,C,1.230967,6.457606,-2.908077
,N,0.226037,6.565618,-1.964839
,C,-1.189753,4.734891,-4.744645
,C,-1.97275,5.378129,-1.688805
,C,2.54469,7.1269,-2.870738
,C,-2.615658,4.770618,-4.730397
,C,-3.340453,4.185832,-5.758321
,C,-2.699144,3.549748,-6.813399
,C,-1.291729,3.527645,-6.856094
,C,-0.553409,4.116379,-5.860557
,C,-2.647645,6.193027,-0.720949
,C,-3.757152,5.733004,-0.062
,C,-4.263719,4.440045,-0.299289
,C,-3.630255,3.627005,-1.236068
,C,-2.525287,4.072759,-1.935708
,C,3.019529,7.628437,-4.088886
,C,4.260744,8.238587,-4.16754
,C,5.054762,8.354206,-3.031085
,C,4.598952,7.848662,-1.821599
,C,3.355511,7.237126,-1.73829
,C,0.444436,7.037356,-0.602713
,C,0.961433,5.931208,0.322153
,N,-0.074558,5.068476,0.846036
,C,-0.810226,5.435173,1.910792
,O,-0.728293,6.565602,2.395587
,C,-1.672678,4.3648,2.536998
,C,-0.876585,3.658976,3.65973
,C,0.108444,2.653595,3.104399
,C,1.345721,3.029385,2.782461
,C,2.407971,2.200904,2.107372
,C,2.711348,2.672562,0.698784
,C,3.850113,3.428499,0.42112
,C,4.103111,3.770563,-0.902161
,C,3.264888,3.403516,-1.936118
,C,2.10281,2.68999,-1.712389
,C,1.865912,2.341594,-0.372722
,C,3.885009,3.894754,-3.211592
,O,5.10008,4.562454,-2.792762
,C,5.240371,4.497336,-1.452297
,C,1.177618,2.301344,-2.832564
,O,4.686918,3.800781,1.417247
,O,0.708114,1.670455,-0.063234
,C,0.745002,0.265724,-0.328649
,O,6.187147,4.981026,-0.868625
,C,-0.467199,1.279828,2.89191
,H,-3.132413,5.330772,-3.964861
,H,-4.424311,4.24223,-5.740094
,H,-3.275711,3.089884,-7.608803
,H,-0.786284,3.042302,-7.68471
,H,0.529366,4.094428,-5.894953
,H,-2.330668,7.213571,-0.55594
,H,-4.260505,6.385044,0.644775
,H,-5.137603,4.087474,0.237429
,H,-4.00082,2.623306,-1.420239
,H,-2.01148,3.401859,-2.609956
,H,2.398671,7.53821,-4.97163
,H,4.608488,8.627521,-5.118354
,H,6.027534,8.830054,-3.090842
,H,5.219697,7.911923,-0.935336
,H,3.056481,6.819535,-0.788452
,H,1.162501,7.853264,-0.652374
,H,-0.472977,7.454082,-0.204279
,H,1.674511,5.301099,-0.210219
,H,1.481021,6.402669,1.160426
,H,-0.143929,4.122251,0.512042
,H,-2.552059,4.856778,2.954843
,H,-2.006725,3.641088,1.789339
,H,-0.363915,4.418635,4.256019
,H,-1.586071,3.152633,4.319867
,H,1.633108,4.060195,2.985618
,H,3.331974,2.25822,2.687026
,H,2.118494,1.15172,2.074883
,H,4.163066,3.079901,-3.883398
,H,3.265188,4.613222,-3.749144
,H,0.145988,2.236332,-2.4863
,H,1.223867,3.036595,-3.635894
,H,1.453445,1.330161,-3.25428
,H,5.430358,4.290595,1.028263
,H,-0.229841,-0.128706,-0.045371
,H,0.927464,0.066265,-1.387135
,H,1.524492,-0.21625,0.269572
,H,0.249436,0.567094,2.490074
,H,-0.848501,0.888627,3.840933
,H,-1.317242,1.327759,2.202889
