block_index,excitation_method,root,optimization_cycle,state_of_interest,current_iroot,scf_energy_Eh,delta_energy_Eh,total_energy_Eh,maximum_memory_MB,followiroot_runtime,input_electron_density
0,CIS,1,1,1,1,-2089.63469061,0.175390071,-2089.459300539,,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
1,CIS,1,2,1,1,-2089.62442244,0.159014038,-2089.465408401,,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
2,CIS,1,3,1,1,-2089.616013469,0.141328492,-2089.474684977,,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
3,CIS,1,4,1,1,-2089.623259952,0.145793775,-2089.477466177,,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
4,CIS,1,5,1,1,-2089.627591814,0.147660738,-2089.479931075,,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
5,CIS,1,6,1,1,-2089.62035496,0.141111031,-2089.479243929,,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
6,CIS,1,7,1,1,-2089.613945337,0.133912956,-2089.48003238,,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
7,CIS,1,8,1,1,-2089.612598782,0.127496038,-2089.485102744,,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
8,CIS,1,9,1,1,-2089.611652627,0.126181425,-2089.485471202,,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
9,CIS,1,10,1,1,-2089.617091762,0.129590969,-2089.487500792,,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
10,CIS,1,11,1,1,-2089.612954159,0.126259729,-2089.48669443,,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
11,CIS,1,12,1,1,-2089.613066216,0.125506875,-2089.487559341,,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
12,CIS,1,13,1,1,-2089.615087803,0.126436718,-2089.488651085,,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
13,CIS,1,14,1,1,-2089.614664725,0.126199411,-2089.488465313,,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
14,CIS,1,15,1,1,-2089.613860599,0.12568615,-2089.488174449,,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
