index,symbol,x_ang,y_ang,z_ang
,C,-1.132388,4.952689,-3.247526
,C,-0.942717,4.96863,-4.619222
,N,-1.566019,3.888264,-5.169474
,C,-2.112228,3.217352,-4.184996
,N,-1.88797,3.832119,-2.982623
,C,-0.243802,5.93431,-5.45508
,C,-0.600396,5.842769,-2.215392
,C,-2.867382,1.984586,-4.391957
,C,0.205885,5.539724,-6.715423
,C,0.867489,6.431989,-7.536546
,C,1.089967,7.733404,-7.115021
,C,0.634893,8.137975,-5.870536
,C,-0.030901,7.249993,-5.046096
,C,-1.43577,6.572785,-1.373403
,C,-0.897964,7.416818,-0.417968
,C,0.474935,7.546012,-0.293818
,C,1.314246,6.829324,-1.131494
,C,0.781755,5.983607,-2.086018
,C,-3.775665,1.937031,-5.449185
,C,-4.497461,0.786258,-5.701958
,C,-4.320361,-0.335617,-4.90733
,C,-3.40398,-0.304209,-3.869823
,C,-2.675925,0.844392,-3.613148
,C,-2.357535,3.408802,-1.687105
,C,-1.200047,3.031472,-0.748183
,N,-0.220711,2.195468,-1.40041
,C,0.189688,1.004756,-0.917957
,O,-0.339171,0.459861,0.03587
,C,1.37587,0.41498,-1.662959
,C,2.625296,1.292244,-1.449123
,C,2.757567,1.651622,0.008067
,C,2.481688,2.886692,0.42225
,C,2.416863,3.353958,1.849485
,C,2.818925,4.800243,2.010099
,C,4.04322,5.240351,1.484738
,C,4.384296,6.578965,1.678337
,C,3.530625,7.448708,2.354441
,C,2.316431,7.045112,2.872208
,C,1.984712,5.692357,2.691399
,C,4.183519,8.794735,2.373014
,O,5.416069,8.620172,1.685777
,C,5.570518,7.339452,1.261469
,C,1.400523,7.997889,3.578164
,O,4.88476,4.42349,0.826886
,O,0.774556,5.228075,3.170301
,C,0.789982,4.850161,4.538909
,O,6.549178,6.988685,0.651233
,C,3.112099,0.519906,0.924872
,H,0.022517,4.524715,-7.034119
,H,1.212768,6.113154,-8.510027
,H,1.609832,8.431328,-7.755712
,H,0.795104,9.155252,-5.54141
,H,-0.396922,7.58299,-4.086293
,H,-2.508274,6.501403,-1.486163
,H,-1.554674,7.982745,0.226504
,H,0.892435,8.210381,0.446315
,H,2.386614,6.931986,-1.04344
,H,1.434866,5.434183,-2.750056
,H,-3.902578,2.814892,-6.064351
,H,-5.201308,0.763106,-6.521289
,H,-4.887068,-1.234348,-5.102442
,H,-3.247144,-1.180362,-3.257003
,H,-1.942248,0.83569,-2.82082
,H,-2.930466,4.214134,-1.219055
,H,-3.021634,2.556349,-1.838406
,H,-0.712933,3.940892,-0.379662
,H,-1.587846,2.468693,0.103552
,H,0.269189,2.597924,-2.184422
,H,1.54767,-0.587228,-1.269769
,H,1.1498,0.338544,-2.728222
,H,3.504768,0.739243,-1.786598
,H,2.550746,2.201052,-2.049817
,H,2.205568,3.641556,-0.303833
,H,1.383944,3.24518,2.192607
,H,3.042902,2.726607,2.491738
,H,3.600389,9.559818,1.847781
,H,4.396723,9.150678,3.386978
,H,0.387288,7.604339,3.588399
,H,1.729383,8.15466,4.605846
,H,1.402065,8.965242,3.080919
,H,4.450804,3.56526,0.671513
,H,-0.224054,4.52875,4.769442
,H,1.485248,4.022782,4.712407
,H,1.066754,5.68775,5.184338
,H,3.669178,-0.245991,0.390405
,H,3.709885,0.852455,1.770749
,H,2.20056,0.067496,1.316826
