index,occupation,energy_Eh,energy_eV,irrep
0,2.0,-19.270284,-524.3711,
1,2.0,-19.255013,-523.9555,
2,2.0,-19.240888,-523.5712,
3,2.0,-19.212762,-522.8058,
4,2.0,-19.178749,-521.8803,
5,2.0,-14.481347,-394.0575,
6,2.0,-14.43236,-392.7245,
7,2.0,-14.401604,-391.8876,
8,2.0,-10.415585,-283.4225,
9,2.0,-10.370764,-282.2028,
10,2.0,-10.357615,-281.845,
11,2.0,-10.346883,-281.553,
12,2.0,-10.342214,-281.4259,
13,2.0,-10.341091,-281.3954,
14,2.0,-10.319648,-280.8119,
15,2.0,-10.317319,-280.7485,
16,2.0,-10.3161,-280.7154,
17,2.0,-10.311922,-280.6017,
18,2.0,-10.302824,-280.3541,
19,2.0,-10.302044,-280.3329,
20,2.0,-10.299827,-280.2725,
21,2.0,-10.298162,-280.2272,
22,2.0,-10.291711,-280.0517,
23,2.0,-10.290854,-280.0284,
24,2.0,-10.289973,-280.0044,
25,2.0,-10.286646,-279.9139,
26,2.0,-10.283268,-279.8219,
27,2.0,-10.281099,-279.7629,
28,2.0,-10.281052,-279.7617,
29,2.0,-10.279632,-279.723,
30,2.0,-10.279054,-279.7073,
31,2.0,-10.278841,-279.7015,
32,2.0,-10.278188,-279.6837,
33,2.0,-10.27789,-279.6756,
34,2.0,-10.277383,-279.6618,
35,2.0,-10.277196,-279.6567,
36,2.0,-10.276366,-279.6341,
37,2.0,-10.27541,-279.6081,
38,2.0,-10.274654,-279.5875,
39,2.0,-10.2745,-279.5834,
40,2.0,-10.274269,-279.5771,
41,2.0,-10.273739,-279.5626,
42,2.0,-10.273647,-279.5601,
43,2.0,-10.273578,-279.5583,
44,2.0,-10.272335,-279.5244,
45,2.0,-10.267724,-279.399,
46,2.0,-10.261406,-279.2271,
47,2.0,-10.258352,-279.1439,
48,2.0,-1.253583,-34.1117,
49,2.0,-1.209655,-32.9164,
50,2.0,-1.199068,-32.6283,
51,2.0,-1.171952,-31.8904,
52,2.0,-1.16828,-31.7905,
53,2.0,-1.162963,-31.6458,
54,2.0,-1.06296,-28.9246,
55,2.0,-1.037977,-28.2448,
56,2.0,-1.019268,-27.7357,
57,2.0,-1.010133,-27.4871,
58,2.0,-1.001328,-27.2475,
59,2.0,-0.991937,-26.992,
60,2.0,-0.966275,-26.2937,
61,2.0,-0.942138,-25.6369,
62,2.0,-0.938945,-25.55,
63,2.0,-0.921025,-25.0624,
64,2.0,-0.910795,-24.784,
65,2.0,-0.900982,-24.517,
66,2.0,-0.895172,-24.3589,
67,2.0,-0.888795,-24.1853,
68,2.0,-0.887556,-24.1516,
69,2.0,-0.881708,-23.9925,
70,2.0,-0.880151,-23.9501,
71,2.0,-0.868835,-23.6422,
72,2.0,-0.85277,-23.205,
73,2.0,-0.840796,-22.8792,
74,2.0,-0.83429,-22.7022,
75,2.0,-0.809813,-22.0361,
76,2.0,-0.807846,-21.9826,
77,2.0,-0.792621,-21.5683,
78,2.0,-0.770314,-20.9613,
79,2.0,-0.764777,-20.8106,
80,2.0,-0.758864,-20.6497,
81,2.0,-0.750979,-20.4352,
82,2.0,-0.738561,-20.0973,
83,2.0,-0.736613,-20.0443,
84,2.0,-0.724999,-19.7282,
85,2.0,-0.721788,-19.6409,
86,2.0,-0.716297,-19.4914,
87,2.0,-0.707405,-19.2495,
88,2.0,-0.705272,-19.1914,
89,2.0,-0.689065,-18.7504,
90,2.0,-0.678103,-18.4521,
91,2.0,-0.663087,-18.0435,
92,2.0,-0.656269,-17.858,
93,2.0,-0.644435,-17.536,
94,2.0,-0.642225,-17.4758,
95,2.0,-0.638771,-17.3819,
96,2.0,-0.637359,-17.3434,
97,2.0,-0.629888,-17.1401,
98,2.0,-0.626609,-17.0509,
99,2.0,-0.624817,-17.0021,
100,2.0,-0.614374,-16.718,
101,2.0,-0.605691,-16.4817,
102,2.0,-0.602647,-16.3988,
103,2.0,-0.596093,-16.2205,
104,2.0,-0.590913,-16.0796,
105,2.0,-0.588038,-16.0013,
106,2.0,-0.585053,-15.9201,
107,2.0,-0.583877,-15.8881,
108,2.0,-0.576935,-15.6992,
