index,symbol,charge,spin_population
0,C,0.162634,
1,C,0.255652,
2,N,-0.307515,
3,C,0.297402,
4,N,0.064306,
5,C,0.048404,
6,C,0.099591,
7,C,0.018847,
8,C,-0.28256,
9,C,-0.159652,
10,C,-0.169422,
11,C,-0.147513,
12,C,-0.285914,
13,C,-0.321193,
14,C,-0.143731,
15,C,-0.215122,
16,C,-0.12315,
17,C,-0.346524,
18,C,-0.214142,
19,C,-0.163411,
20,C,-0.11991,
21,C,-0.174506,
22,C,-0.227932,
23,C,-0.204223,
24,C,-0.137458,
25,N,-0.217765,
26,C,0.22849,
27,O,-0.480933,
28,C,-0.22737,
29,C,-0.130969,
30,C,-0.005126,
31,C,-0.259584,
32,C,-0.231472,
33,C,0.011703,
34,C,0.139234,
35,C,-0.077443,
36,C,-0.053313,
37,C,0.025799,
38,C,0.142206,
39,C,0.000111,
40,O,-0.241675,
41,C,0.329289,
42,C,-0.452913,
43,O,-0.406853,
44,O,-0.306241,
45,C,-0.226665,
46,O,-0.410458,
47,C,-0.371109,
48,H,0.172755,
49,H,0.144162,
50,H,0.148094,
51,H,0.144854,
52,H,0.152667,
53,H,0.157504,
54,H,0.14423,
55,H,0.144909,
56,H,0.142415,
57,H,0.17763,
58,H,0.15055,
59,H,0.151345,
60,H,0.154257,
61,H,0.148443,
62,H,0.168609,
63,H,0.194854,
64,H,0.146618,
65,H,0.1168,
66,H,0.13951,
67,H,0.253248,
68,H,0.125969,
69,H,0.142411,
70,H,0.127205,
71,H,0.125561,
72,H,0.136113,
73,H,0.140185,
74,H,0.147629,
75,H,0.156612,
76,H,0.158,
77,H,0.150078,
78,H,0.129911,
79,H,0.160606,
80,H,0.350798,
81,H,0.150726,
82,H,0.143256,
83,H,0.137409,
84,H,0.120473,
85,H,0.137795,
86,H,0.125907,
