index,symbol,charge,spin_population
0,C,-0.088479,
1,C,-0.154569,
2,N,0.143067,
3,C,-0.197236,
4,N,0.296838,
5,C,-0.134555,
6,C,-0.143592,
7,C,-0.123674,
8,C,-0.105148,
9,C,-0.156205,
10,C,-0.155441,
11,C,-0.155541,
12,C,-0.106756,
13,C,-0.117312,
14,C,-0.153732,
15,C,-0.166037,
16,C,-0.161906,
17,C,-0.11018,
18,C,-0.088633,
19,C,-0.133044,
20,C,-0.126107,
21,C,-0.131319,
22,C,-0.103385,
23,C,-0.221599,
24,C,-0.269927,
25,N,0.163362,
26,C,-0.450845,
27,O,-0.008706,
28,C,-0.206924,
29,C,-0.202355,
30,C,-0.206371,
31,C,-0.146938,
32,C,-0.187529,
33,C,-0.093976,
34,C,-0.202577,
35,C,-0.113909,
36,C,-0.07941,
37,C,-0.12869,
38,C,-0.186679,
39,C,-0.179557,
40,O,0.272805,
41,C,-0.432877,
42,C,-0.240731,
43,O,0.100802,
44,O,0.213916,
45,C,-0.310582,
46,O,0.051535,
47,C,-0.257053,
48,H,0.15872,
49,H,0.149529,
50,H,0.14532,
51,H,0.148343,
52,H,0.15015,
53,H,0.150019,
54,H,0.14997,
55,H,0.143848,
56,H,0.149557,
57,H,0.154654,
58,H,0.156894,
59,H,0.152047,
60,H,0.151653,
61,H,0.15234,
62,H,0.158883,
63,H,0.153565,
64,H,0.144046,
65,H,0.145158,
66,H,0.146251,
67,H,0.193103,
68,H,0.147853,
69,H,0.146722,
70,H,0.147142,
71,H,0.143959,
72,H,0.1493,
73,H,0.15125,
74,H,0.148062,
75,H,0.147712,
76,H,0.143223,
77,H,0.132246,
78,H,0.133352,
79,H,0.132772,
80,H,0.201216,
81,H,0.116129,
82,H,0.112081,
83,H,0.110613,
84,H,0.121809,
85,H,0.128751,
86,H,0.129517,
