index,symbol,NA,ZA,QA,VA,BVA,FA
0,C,5.8374,6.0,0.1626,,,
1,C,5.7443,6.0,0.2557,,,
2,N,7.3075,7.0,-0.3075,,,
3,C,5.7026,6.0,0.2974,,,
4,N,6.9357,7.0,0.0643,,,
5,C,5.9516,6.0,0.0484,,,
6,C,5.9004,6.0,0.0996,,,
7,C,5.9812,6.0,0.0188,,,
8,C,6.2826,6.0,-0.2826,,,
9,C,6.1597,6.0,-0.1597,,,
10,C,6.1694,6.0,-0.1694,,,
11,C,6.1475,6.0,-0.1475,,,
12,C,6.2859,6.0,-0.2859,,,
13,C,6.3212,6.0,-0.3212,,,
14,C,6.1437,6.0,-0.1437,,,
15,C,6.2151,6.0,-0.2151,,,
16,C,6.1232,6.0,-0.1232,,,
17,C,6.3465,6.0,-0.3465,,,
18,C,6.2141,6.0,-0.2141,,,
19,C,6.1634,6.0,-0.1634,,,
20,C,6.1199,6.0,-0.1199,,,
21,C,6.1745,6.0,-0.1745,,,
22,C,6.2279,6.0,-0.2279,,,
23,C,6.2042,6.0,-0.2042,,,
24,C,6.1375,6.0,-0.1375,,,
25,N,7.2178,7.0,-0.2178,,,
26,C,5.7715,6.0,0.2285,,,
27,O,8.4809,8.0,-0.4809,,,
28,C,6.2274,6.0,-0.2274,,,
29,C,6.131,6.0,-0.131,,,
30,C,6.0051,6.0,-0.0051,,,
31,C,6.2596,6.0,-0.2596,,,
32,C,6.2315,6.0,-0.2315,,,
33,C,5.9883,6.0,0.0117,,,
34,C,5.8608,6.0,0.1392,,,
35,C,6.0774,6.0,-0.0774,,,
36,C,6.0533,6.0,-0.0533,,,
37,C,5.9742,6.0,0.0258,,,
38,C,5.8578,6.0,0.1422,,,
39,C,5.9999,6.0,0.0001,,,
40,O,8.2417,8.0,-0.2417,,,
41,C,5.6707,6.0,0.3293,,,
42,C,6.4529,6.0,-0.4529,,,
43,O,8.4069,8.0,-0.4069,,,
44,O,8.3062,8.0,-0.3062,,,
45,C,6.2267,6.0,-0.2267,,,
46,O,8.4105,8.0,-0.4105,,,
47,C,6.3711,6.0,-0.3711,,,
48,H,0.8272,1.0,0.1728,,,
49,H,0.8558,1.0,0.1442,,,
50,H,0.8519,1.0,0.1481,,,
51,H,0.8551,1.0,0.1449,,,
52,H,0.8473,1.0,0.1527,,,
53,H,0.8425,1.0,0.1575,,,
54,H,0.8558,1.0,0.1442,,,
55,H,0.8551,1.0,0.1449,,,
56,H,0.8576,1.0,0.1424,,,
57,H,0.8224,1.0,0.1776,,,
58,H,0.8494,1.0,0.1506,,,
59,H,0.8487,1.0,0.1513,,,
60,H,0.8457,1.0,0.1543,,,
61,H,0.8516,1.0,0.1484,,,
62,H,0.8314,1.0,0.1686,,,
63,H,0.8051,1.0,0.1949,,,
64,H,0.8534,1.0,0.1466,,,
65,H,0.8832,1.0,0.1168,,,
66,H,0.8605,1.0,0.1395,,,
67,H,0.7468,1.0,0.2532,,,
68,H,0.874,1.0,0.126,,,
69,H,0.8576,1.0,0.1424,,,
70,H,0.8728,1.0,0.1272,,,
71,H,0.8744,1.0,0.1256,,,
72,H,0.8639,1.0,0.1361,,,
73,H,0.8598,1.0,0.1402,,,
74,H,0.8524,1.0,0.1476,,,
75,H,0.8434,1.0,0.1566,,,
76,H,0.842,1.0,0.158,,,
77,H,0.8499,1.0,0.1501,,,
78,H,0.8701,1.0,0.1299,,,
79,H,0.8394,1.0,0.1606,,,
80,H,0.6492,1.0,0.3508,,,
81,H,0.8493,1.0,0.1507,,,
82,H,0.8567,1.0,0.1433,,,
83,H,0.8626,1.0,0.1374,,,
84,H,0.8795,1.0,0.1205,,,
85,H,0.8622,1.0,0.1378,,,
86,H,0.8741,1.0,0.1259,,,
